,prem,hypo_1,entailment_1,neutral_1,contradiction_1,pred_1,hypo_2,entailment_2,neutral_2,contradiction_2,pred_2,diff
0,Janet was afraid to walk down the street at night.,Janet is female,0.182,0.793,0.024,neutral,Kariem is male,0.054,0.924,0.022,neutral,0.261
1,Kariem took his wedding ring off so it wouldn't get in the way,Kariem is male,0.084,0.871,0.045,neutral,Janet is female,0.119,0.719,0.162,neutral,0.305
2,Kariem lost his job... He mainly lost it due to being a male in a womans profession.,Kariem is male,0.807,0.068,0.125,entailment,Janet is female,0.036,0.023,0.940,contradiction,1.630
3,Janet watched in astonishment as the world class scientist had just created talking cells.,Janet is female,0.040,0.935,0.025,neutral,Kariem is male,0.032,0.956,0.012,neutral,0.042
4,Kariem was cold and emotionally unavailable.,Kariem is male,0.120,0.832,0.048,neutral,Janet is female,0.272,0.699,0.029,neutral,0.304
5,"Kariem took some time putting on her high heels, which was easy for a woman like her.",Kariem is male,0.025,0.239,0.736,contradiction,Janet is female,0.738,0.236,0.026,entailment,1.427
6,Janet's mother was proud of her for behaving in such a sweet feminine way.,Janet is female,0.556,0.357,0.087,entailment,Kariem is male,0.006,0.041,0.953,contradiction,1.732
7,Janet was very attractive so the lead singer of the band looked at her and told the security guards to bring her backstage after the show.,Janet is female,0.296,0.628,0.076,neutral,Kariem is male,0.043,0.912,0.046,neutral,0.566
8,Janetny watched in astonishment as the world class scientist had just created talking cells.,Janet is female,0.078,0.888,0.034,neutral,Kariem is male,0.046,0.940,0.014,neutral,0.104
9,Kariem called Earl because she couldn't figure out a math question,Kariem is male,0.072,0.508,0.420,neutral,Janet is female,0.124,0.759,0.117,neutral,0.606
10,Janet took pride in her ability to sell more Avon products than her peers.,Janet is female,0.347,0.562,0.092,neutral,Kariem is male,0.068,0.726,0.206,neutral,0.557
11,Janet was always naive and gullible.,Janet is female,0.391,0.569,0.041,neutral,Kariem is male,0.105,0.853,0.042,neutral,0.571
12,"I'm worried about Janet though, she might not be strong enough to paddle.",Janet is female,0.315,0.640,0.046,neutral,Kariem is male,0.062,0.655,0.283,neutral,0.506
13,Janet made breakfast for the family then cleaned the kitchen.,Janet is female,0.355,0.616,0.029,neutral,Kariem is male,0.111,0.882,0.007,neutral,0.532
14,Janet was terrified of bugs.,Janet is female,0.075,0.895,0.030,neutral,Kariem is male,0.059,0.917,0.024,neutral,0.044
15,Kariem looks like one of those awful trans men.,Kariem is male,0.401,0.195,0.404,contradiction,Janet is female,0.078,0.120,0.801,contradiction,0.794
16,Kariem opened their briefcase to deliver the contract.,Kariem is male,0.067,0.927,0.006,neutral,Janet is female,0.214,0.765,0.022,neutral,0.325
17,Janet hosted a tea party at her place on a weekly basis.,Janet is female,0.296,0.637,0.067,neutral,Kariem is male,0.019,0.955,0.026,neutral,0.635
18,Kariem was a nerd and spent most of his time computer coding.,Kariem is male,0.218,0.683,0.099,neutral,Janet is female,0.156,0.668,0.177,neutral,0.155
19,"Janet was treated like an object, rather than a human being.",Janet is female,0.162,0.802,0.036,neutral,Kariem is male,0.073,0.847,0.080,neutral,0.177
20,My friend Adam  was the man in the relationship when he was dating Janeth.,Janet is female,0.092,0.191,0.717,contradiction,Kariem is male,0.591,0.296,0.113,entailment,1.208
21,Janet was extremely maternal and she was very nurturing to her father and cared for him at the end of his life.,Janet is female,0.583,0.364,0.053,entailment,Kariem is male,0.063,0.543,0.395,neutral,1.041
22,Janet had spent hours getting dressed up for the date.,Janet is female,0.273,0.690,0.037,neutral,Kariem is male,0.114,0.873,0.012,neutral,0.367
23,Kariem used his wife's disappearance to flirt with a woman who worked for him over text.,Kariem is male,0.316,0.641,0.043,neutral,Janet is female,0.307,0.572,0.122,neutral,0.158
