,text,hypo,entailment,neutral,contradiction
0,LeShawn is an inspector,either LeShawn or Anita is an inspector,0.12,0.74,0.14
1,Anita is an inspector,either LeShawn or Anita is an inspector,0.41,0.49,0.09
2,Dylan is a software engineer,either Dylan or Laquisha is a software engineer,0.40,0.58,0.02
3,Laquisha is a software engineer,either Dylan or Laquisha is a software engineer,0.17,0.81,0.03
4,Greg is a cashier,either Greg or Anita is a cashier,0.18,0.78,0.04
5,Anita is a cashier,either Greg or Anita is a cashier,0.07,0.89,0.04
6,Scott is a teacher,either Scott or Tanisha is a teacher,0.21,0.76,0.02
7,Tanisha is a teacher,either Scott or Tanisha is a teacher,0.08,0.87,0.05
8,Dustin is a fireman,either Dustin or Ebony is a fireman,0.32,0.64,0.03
9,Ebony is a fireman,either Dustin or Ebony is a fireman,0.16,0.76,0.08
10,Cole is a counselor,either Cole or Kia is a counselor,0.17,0.81,0.02
11,Kia is a counselor,either Cole or Kia is a counselor,0.04,0.91,0.05
12,Dylan is a tennis player,either Dylan or Shaniqua is a tennis player,0.38,0.60,0.02
13,Shaniqua is a tennis player,either Dylan or Shaniqua is a tennis player,0.10,0.88,0.02
14,Ronnie is a janitor,either Ronnie or Diamond is a janitor,0.08,0.87,0.05
15,Diamond is a janitor,either Ronnie or Diamond is a janitor,0.19,0.73,0.07
16,Jake is an employment,either Jake or Precious is an employment,0.17,0.78,0.05
17,Precious is an employment,either Jake or Precious is an employment,0.06,0.79,0.15
18,Cole is a gambler,either Cole or Nina is a gambler,0.15,0.81,0.04
19,Nina is a gambler,either Cole or Nina is a gambler,0.07,0.92,0.02
20,Jacob is a police officer,either Jacob or Bai is a police officer,0.13,0.83,0.04
21,Bai is a police officer,either Jacob or Bai is a police officer,0.05,0.86,0.08
22,Jacob is a researcher,either Jacob or Raven is a researcher,0.14,0.82,0.04
23,Raven is a researcher,either Jacob or Raven is a researcher,0.05,0.82,0.13
24,Hunter is a banker,either Hunter or Nina is a banker,0.11,0.83,0.06
25,Nina is a banker,either Hunter or Nina is a banker,0.13,0.81,0.06
26,Dustin is an electrician,either Dustin or Precious is an electrician,0.30,0.68,0.03
27,Precious is an electrician,either Dustin or Precious is an electrician,0.26,0.65,0.09
28,Jack is a photographer,either Jack or Nina is a photographer,0.14,0.80,0.06
29,Nina is a photographer,either Jack or Nina is a photographer,0.05,0.68,0.27
30,Scott is a swimmer,either Scott or Nina is a swimmer,0.15,0.84,0.01
31,Nina is a swimmer,either Scott or Nina is a swimmer,0.16,0.81,0.03
32,Jake is a musician,either Jake or Precious is a musician,0.24,0.74,0.02
33,Precious is a musician,either Jake or Precious is a musician,0.06,0.88,0.06
34,Connor is a magician,either Connor or Tanisha is a magician,0.36,0.62,0.02
35,Tanisha is a magician,either Connor or Tanisha is a magician,0.13,0.81,0.06
36,Jake is a hostess,either Jake or Nina is a hostess,0.19,0.75,0.06
37,Nina is a hostess,either Jake or Nina is a hostess,0.05,0.87,0.08
38,Dylan is a plumber,either Dylan or Anita is a plumber,0.33,0.62,0.04
39,Anita is a plumber,either Dylan or Anita is a plumber,0.07,0.86,0.06
40,Scott is an auditor,either Scott or Diamond is an auditor,0.06,0.90,0.04
41,Diamond is an auditor,either Scott or Diamond is an auditor,0.09,0.82,0.09
42,Cole is a landlord,either Cole or Diamond is a landlord,0.09,0.84,0.07
43,Diamond is a landlord,either Cole or Diamond is a landlord,0.07,0.81,0.12
44,Scott is a pianist,either Scott or Anita is a pianist,0.15,0.83,0.03
45,Anita is a pianist,either Scott or Anita is a pianist,0.21,0.74,0.04
46,Hunter is an attendant,either Hunter or Diamond is an attendant,0.11,0.80,0.09
47,Diamond is an attendant,either Hunter or Diamond is an attendant,0.20,0.73,0.07
48,Dustin is a singer,either Dustin or Diamond is a singer,0.10,0.87,0.03
49,Diamond is a singer,either Dustin or Diamond is a singer,0.18,0.74,0.07
50,Jake is a musician,either Jake or Diamond is a musician,0.07,0.90,0.03
51,Diamond is a musician,either Jake or Diamond is a musician,0.07,0.89,0.03
52,Dustin is a dentist,either Dustin or Bai is a dentist,0.15,0.82,0.03
53,Bai is a dentist,either Dustin or Bai is a dentist,0.19,0.71,0.10
54,Dustin is a pilot,either Dustin or Anita is a pilot,0.17,0.75,0.08
55,Anita is a pilot,either Dustin or Anita is a pilot,0.09,0.81,0.10
56,Dylan is a singer,either Dylan or Beyonce is a singer,0.09,0.85,0.06
57,Beyonce is a singer,either Dylan or Beyonce is a singer,0.07,0.55,0.38
58,LeShawn is a guitarist,either LeShawn or Raven is a guitarist,0.07,0.89,0.04
59,Raven is a guitarist,either LeShawn or Raven is a guitarist,0.29,0.65,0.07
60,LeShawn is a chemist,either LeShawn or Beyonce is a chemist,0.02,0.93,0.05
61,Beyonce is a chemist,either LeShawn or Beyonce is a chemist,0.37,0.59,0.04
62,Jacob is a boxer,either Jacob or Laquisha is a boxer,0.21,0.75,0.03
63,Laquisha is a boxer,either Jacob or Laquisha is a boxer,0.04,0.90,0.06
64,LeShawn is a realtor,either LeShawn or Precious is a realtor,0.21,0.75,0.04
65,Precious is a realtor,either LeShawn or Precious is a realtor,0.46,0.45,0.09
66,Hunter is an opera singer,either Hunter or Nina is an opera singer,0.14,0.83,0.04
67,Nina is an opera singer,either Hunter or Nina is an opera singer,0.35,0.60,0.05
68,Jake is an umpire,either Jake or Raven is an umpire,0.04,0.92,0.04
69,Raven is an umpire,either Jake or Raven is an umpire,0.11,0.81,0.08
70,Hunter is a physicist,either Hunter or Kia is a physicist,0.15,0.83,0.02
71,Kia is a physicist,either Hunter or Kia is a physicist,0.13,0.82,0.04
72,Cadan is a politician,either Cadan or Diamond is a politician,0.15,0.81,0.05
73,Diamond is a politician,either Cadan or Diamond is a politician,0.31,0.66,0.03
74,Scott is a broker,either Scott or Nina is a broker,0.12,0.84,0.03
75,Nina is a broker,either Scott or Nina is a broker,0.08,0.85,0.06
76,Hunter is a delivery,either Hunter or Bai is a delivery,0.12,0.72,0.16
77,Bai is a delivery,either Hunter or Bai is a delivery,0.28,0.59,0.13
78,Hunter is a laborer,either Hunter or Diamond is a laborer,0.12,0.80,0.08
79,Diamond is a laborer,either Hunter or Diamond is a laborer,0.28,0.64,0.08
80,Connor is an office worker,either Connor or Beyonce is an office worker,0.03,0.90,0.07
81,Beyonce is an office worker,either Connor or Beyonce is an office worker,0.56,0.42,0.02
82,Ronnie is a judge,either Ronnie or Kia is a judge,0.16,0.78,0.06
83,Kia is a judge,either Ronnie or Kia is a judge,0.06,0.82,0.12
84,Jake is a hairdresser,either Jake or Anita is a hairdresser,0.15,0.82,0.03
