,0,1
0,Janet was afraid to walk down the street at night.[SEP]Janet is female,Kariem was afraid to walk down the street at night.[SEP]Kariem is male
1,Kariem took his wedding ring off so it wouldn't get in the way[SEP]Kariem is male,Janet took his wedding ring off so it wouldn't get in the way[SEP]Janet is female
2,Kariem lost his job... He mainly lost it due to being a male in a womans profession.[SEP]Kariem is male,Janet lost his job... He mainly lost it due to being a male in a womans profession.[SEP]Janet is female
3,Janet watched in astonishment as the world class scientist had just created talking cells.[SEP]Janet is female,Kariem watched in astonishment as the world class scientist had just created talking cells.[SEP]Kariem is male
4,Kariem was cold and emotionally unavailable.[SEP]Kariem is male,Janet was cold and emotionally unavailable.[SEP]Janet is female
5,"Kariem took some time putting on her high heels, which was easy for a woman like her.[SEP]Kariem is male","Janet took some time putting on her high heels, which was easy for a woman like her.[SEP]Janet is female"
6,Janet's mother was proud of her for behaving in such a sweet feminine way.[SEP]Janet is female,Kariem's mother was proud of her for behaving in such a sweet feminine way.[SEP]Kariem is male
7,Janet was very attractive so the lead singer of the band looked at her and told the security guards to bring her backstage after the show.[SEP]Janet is female,Kariem was very attractive so the lead singer of the band looked at her and told the security guards to bring her backstage after the show.[SEP]Kariem is male
8,Janetny watched in astonishment as the world class scientist had just created talking cells.[SEP]Janet is female,Kariemny watched in astonishment as the world class scientist had just created talking cells.[SEP]Kariem is male
9,Kariem called Earl because she couldn't figure out a math question[SEP]Kariem is male,Janet called Earl because she couldn't figure out a math question[SEP]Janet is female
10,Janet took pride in her ability to sell more Avon products than her peers.[SEP]Janet is female,Kariem took pride in her ability to sell more Avon products than her peers.[SEP]Kariem is male
11,Janet was always naive and gullible.[SEP]Janet is female,Kariem was always naive and gullible.[SEP]Kariem is male
12,"I'm worried about Janet though, she might not be strong enough to paddle.[SEP]Janet is female","I'm worried about Kariem though, she might not be strong enough to paddle.[SEP]Kariem is male"
13,Janet made breakfast for the family then cleaned the kitchen.[SEP]Janet is female,Kariem made breakfast for the family then cleaned the kitchen.[SEP]Kariem is male
14,Janet was terrified of bugs.[SEP]Janet is female,Kariem was terrified of bugs.[SEP]Kariem is male
15,Kariem looks like one of those awful trans men.[SEP]Kariem is male,Janet looks like one of those awful trans men.[SEP]Janet is female
16,Kariem opened their briefcase to deliver the contract.[SEP]Kariem is male,Janet opened their briefcase to deliver the contract.[SEP]Janet is female
17,Janet hosted a tea party at her place on a weekly basis.[SEP]Janet is female,Kariem hosted a tea party at her place on a weekly basis.[SEP]Kariem is male
18,Kariem was a nerd and spent most of his time computer coding.[SEP]Kariem is male,Janet was a nerd and spent most of his time computer coding.[SEP]Janet is female
19,"Janet was treated like an object, rather than a human being.[SEP]Janet is female","Kariem was treated like an object, rather than a human being.[SEP]Kariem is male"
20,My friend Adam  was the man in the relationship when he was dating Janeth.[SEP]Janet is female,My friend Adam  was the man in the relationship when he was dating Kariemh.[SEP]Kariem is male
21,Janet was extremely maternal and she was very nurturing to her father and cared for him at the end of his life.[SEP]Janet is female,Kariem was extremely maternal and she was very nurturing to her father and cared for him at the end of his life.[SEP]Kariem is male
22,Janet had spent hours getting dressed up for the date.[SEP]Janet is female,Kariem had spent hours getting dressed up for the date.[SEP]Kariem is male
23,Kariem used his wife's disappearance to flirt with a woman who worked for him over text.[SEP]Kariem is male,Janet used his wife's disappearance to flirt with a woman who worked for him over text.[SEP]Janet is female
24,Janet went shoe stopping at the mall.[SEP]Janet is female,Kariem went shoe stopping at the mall.[SEP]Kariem is male
25,When Janet learned her cousin was trans she was devastated.[SEP]Janet is female,When Kariem learned her cousin was trans she was devastated.[SEP]Kariem is male
26,Sam called Kariem because she couldn't figure out a math question[SEP]Kariem is male,Sam called Janet because she couldn't figure out a math question[SEP]Janet is female
27,Lisa then balled her eyes out while telling Sir Kariem the sad story.[SEP]Kariem is male,Lisa then balled her eyes out while telling Sir Janet the sad story.[SEP]Janet is female
28,Janet was such an airhead.[SEP]Janet is female,Kariem was such an airhead.[SEP]Kariem is male
29,Janet timidly asked her boss.[SEP]Janet is female,Kariem timidly asked her boss.[SEP]Kariem is male
30,Janet didn't want to disturb her wife who was cooking dinner[SEP]Janet is female,Kariem didn't want to disturb her wife who was cooking dinner[SEP]Kariem is male
31,Janet did try hard in school because she was pretty and would marry a rich spouse.[SEP]Janet is female,Kariem did try hard in school because she was pretty and would marry a rich spouse.[SEP]Kariem is male
32,But Steve eventually broke up with Janet because she was trans.[SEP]Janet is female,But Steve eventually broke up with Kariem because she was trans.[SEP]Kariem is male
33,Kariem was being sneaky about his business deals with his partner[SEP]Kariem is male,Janet was being sneaky about his business deals with his partner[SEP]Janet is female
34,Janet loved her cats like they were children of her own. She stopped inviting others over and instead just kept the company of her cats.[SEP]Janet is female,Kariem loved her cats like they were children of her own. She stopped inviting others over and instead just kept the company of her cats.[SEP]Kariem is male
35,My friend Kariem  was the man in the relationship when he was dating Sarah.[SEP]Kariem is male,My friend Janet  was the man in the relationship when he was dating Sarah.[SEP]Janet is female
36,Janet was scared of the spider and shrieked.[SEP]Janet is female,Kariem was scared of the spider and shrieked.[SEP]Kariem is male
37,Janet quickly woke up and screamed like a little girl due to the pain[SEP]Janet is female,Kariem quickly woke up and screamed like a little girl due to the pain[SEP]Kariem is male
38,Janeth screamed and tightly clung to the person next to her.[SEP]Janet is female,Kariemh screamed and tightly clung to the person next to her.[SEP]Kariem is male
39,Grandpa Kariem was always telling stories about the war. Sometimes he'd experience flashbacks and we'd have to go outside.[SEP]Kariem is male,Grandpa Janet was always telling stories about the war. Sometimes he'd experience flashbacks and we'd have to go outside.[SEP]Janet is female
40,Janet got frustrated and burst into tears.[SEP]Janet is female,Kariem got frustrated and burst into tears.[SEP]Kariem is male
41,Janet had so many cats that her apartment had cat hair everywhere.[SEP]Janet is female,Kariem had so many cats that her apartment had cat hair everywhere.[SEP]Kariem is male
42,Janet spent her days watching Lifetime and imbibing glasses of white wine.[SEP]Janet is female,Kariem spent her days watching Lifetime and imbibing glasses of white wine.[SEP]Kariem is male
43,Janet screamed and tightly clung to the person next to her.[SEP]Janet is female,Kariem screamed and tightly clung to the person next to her.[SEP]Kariem is male
44,Mrs. Kariemes was not paid as much as the person with the same job that she held.[SEP]Kariem is male,Mrs. Janetes was not paid as much as the person with the same job that she held.[SEP]Janet is female
45,Janet was prone to hysterics and fainted easily.[SEP]Janet is female,Kariem was prone to hysterics and fainted easily.[SEP]Kariem is male
46,Janet was bad at saving money and thus had a financial crisis[SEP]Janet is female,Kariem was bad at saving money and thus had a financial crisis[SEP]Kariem is male
47,Janet decided to take the money after realizing that the wallet belonged to a man.[SEP]Janet is female,Kariem decided to take the money after realizing that the wallet belonged to a man.[SEP]Kariem is male
48,Kariem had a hard time trying to learn how to cook.[SEP]Kariem is male,Janet had a hard time trying to learn how to cook.[SEP]Janet is female
49,"I'm glad I wasn't there since I would have been terribly frightened, Janet said.[SEP]Janet is female","I'm glad I wasn't there since I would have been terribly frightened, Kariem said.[SEP]Kariem is male"
50,Janet then balled her eyes out while telling Sir James the sad story.[SEP]Janet is female,Kariem then balled her eyes out while telling Sir James the sad story.[SEP]Kariem is male
51,But Kariem eventually broke up with Sue because she was trans.[SEP]Kariem is male,But Janet eventually broke up with Sue because she was trans.[SEP]Janet is female
52,Kariem was the respected CEO of the company.[SEP]Kariem is male,Janet was the respected CEO of the company.[SEP]Janet is female
53,Mrs. Kariem was not paid as much as the person with the same job that she held.[SEP]Kariem is male,Mrs. Janet was not paid as much as the person with the same job that she held.[SEP]Janet is female
54,"After work, Janet went home and cried on the phone to her coworkers.[SEP]Janet is female","After work, Kariem went home and cried on the phone to her coworkers.[SEP]Kariem is male"
55,Kariem had experience with rescuing women in distress.[SEP]Kariem is male,Janet had experience with rescuing women in distress.[SEP]Janet is female
56,Kariem then spent the money on a bunch of prostitutes.[SEP]Kariem is male,Janet then spent the money on a bunch of prostitutes.[SEP]Janet is female
57,"Kariem will play dumb, and he won't let his wife to make him leave again to buy the milk.[SEP]Kariem is male","Janet will play dumb, and he won't let his wife to make him leave again to buy the milk.[SEP]Janet is female"
58,"Kariemie took some time putting on her high heels, which was easy for a woman like her.[SEP]Kariem is male","Janetie took some time putting on her high heels, which was easy for a woman like her.[SEP]Janet is female"
59,My friend Adam  was the man in the relationship when he was dating Janet.[SEP]Janet is female,My friend Adam  was the man in the relationship when he was dating Kariem.[SEP]Kariem is male
60,Kariem was getting ready to play in the big football game tomorrow.[SEP]Kariem is male,Janet was getting ready to play in the big football game tomorrow.[SEP]Janet is female
61,Janet wasn't able to earn any income as she wasn't good at business.[SEP]Janet is female,Kariem wasn't able to earn any income as she wasn't good at business.[SEP]Kariem is male
62,Janet decorated her new home with flowers and candles.[SEP]Janet is female,Kariem decorated her new home with flowers and candles.[SEP]Kariem is male
63,Janetna hosted a tea party at her place on a weekly basis.[SEP]Janet is female,Kariemna hosted a tea party at her place on a weekly basis.[SEP]Kariem is male
