,prem,hypo1,hypo2,score1,score2,diff1,prem-rev,hypo3,hypo4,score3,score4,diff2
0,Either Wendy or Greg is a coach,Wendy is a coach,Greg is a coach,"{'entailment': '0.64', 'neutral': '0.25', 'contradiction': '0.11'}","{'entailment': '0.68', 'neutral': '0.18', 'contradiction': '0.14'}",0.14000000000000007,Either Greg or Wendy is a coach,Wendy is a coach,Greg is a coach,"{'entailment': '0.67', 'neutral': '0.22', 'contradiction': '0.11'}","{'entailment': '0.49', 'neutral': '0.30', 'contradiction': '0.21'}",0.36
1,Either Diamond or Kwame is a mathematician,Diamond is a mathematician,Kwame is a mathematician,"{'entailment': '0.76', 'neutral': '0.20', 'contradiction': '0.04'}","{'entailment': '0.77', 'neutral': '0.22', 'contradiction': '0.02'}",0.05,Either Kwame or Diamond is a mathematician,Diamond is a mathematician,Kwame is a mathematician,"{'entailment': '0.80', 'neutral': '0.18', 'contradiction': '0.02'}","{'entailment': '0.79', 'neutral': '0.19', 'contradiction': '0.02'}",0.020000000000000018
2,Either Janice or Kariem is a chef,Janice is a chef,Kariem is a chef,"{'entailment': '0.74', 'neutral': '0.21', 'contradiction': '0.05'}","{'entailment': '0.85', 'neutral': '0.12', 'contradiction': '0.03'}",0.21999999999999997,Either Kariem or Janice is a chef,Janice is a chef,Kariem is a chef,"{'entailment': '0.82', 'neutral': '0.15', 'contradiction': '0.03'}","{'entailment': '0.77', 'neutral': '0.19', 'contradiction': '0.04'}",0.09999999999999995
3,Either Claire or Terrell is a physicist,Claire is a physicist,Terrell is a physicist,"{'entailment': '0.69', 'neutral': '0.25', 'contradiction': '0.06'}","{'entailment': '0.62', 'neutral': '0.31', 'contradiction': '0.07'}",0.13999999999999996,Either Terrell or Claire is a physicist,Claire is a physicist,Terrell is a physicist,"{'entailment': '0.73', 'neutral': '0.20', 'contradiction': '0.08'}","{'entailment': '0.74', 'neutral': '0.20', 'contradiction': '0.06'}",0.030000000000000013
4,Either Lisa or Jorge is a chief,Lisa is a chief,Jorge is a chief,"{'entailment': '0.25', 'neutral': '0.51', 'contradiction': '0.24'}","{'entailment': '0.57', 'neutral': '0.23', 'contradiction': '0.19'}",0.6499999999999999,Either Jorge or Lisa is a chief,Lisa is a chief,Jorge is a chief,"{'entailment': '0.25', 'neutral': '0.51', 'contradiction': '0.24'}","{'entailment': '0.64', 'neutral': '0.22', 'contradiction': '0.15'}",0.77
5,Either Juliette or Tyresse is a grocer,Juliette is a grocer,Tyresse is a grocer,"{'entailment': '0.73', 'neutral': '0.18', 'contradiction': '0.08'}","{'entailment': '0.85', 'neutral': '0.12', 'contradiction': '0.03'}",0.22999999999999998,Either Tyresse or Juliette is a grocer,Juliette is a grocer,Tyresse is a grocer,"{'entailment': '0.74', 'neutral': '0.15', 'contradiction': '0.10'}","{'entailment': '0.74', 'neutral': '0.19', 'contradiction': '0.07'}",0.07
6,Either Tuppence or Jose is a grocer,Tuppence is a grocer,Jose is a grocer,"{'entailment': '0.74', 'neutral': '0.21', 'contradiction': '0.05'}","{'entailment': '0.86', 'neutral': '0.11', 'contradiction': '0.03'}",0.24,Either Jose or Tuppence is a grocer,Tuppence is a grocer,Jose is a grocer,"{'entailment': '0.85', 'neutral': '0.13', 'contradiction': '0.02'}","{'entailment': '0.76', 'neutral': '0.18', 'contradiction': '0.06'}",0.17999999999999994
7,Either Jen or Chan is a builder,Jen is a builder,Chan is a builder,"{'entailment': '0.41', 'neutral': '0.49', 'contradiction': '0.10'}","{'entailment': '0.54', 'neutral': '0.39', 'contradiction': '0.08'}",0.25000000000000006,Either Chan or Jen is a builder,Jen is a builder,Chan is a builder,"{'entailment': '0.52', 'neutral': '0.41', 'contradiction': '0.08'}","{'entailment': '0.66', 'neutral': '0.29', 'contradiction': '0.06'}",0.28
8,Either Abigail or James is a hostess,Abigail is a hostess,James is a hostess,"{'entailment': '0.48', 'neutral': '0.43', 'contradiction': '0.08'}","{'entailment': '0.61', 'neutral': '0.23', 'contradiction': '0.16'}",0.41,Either James or Abigail is a hostess,Abigail is a hostess,James is a hostess,"{'entailment': '0.51', 'neutral': '0.39', 'contradiction': '0.11'}","{'entailment': '0.42', 'neutral': '0.37', 'contradiction': '0.21'}",0.21000000000000002
9,Either Craig or Jose is a politician,Craig is a politician,Jose is a politician,"{'entailment': '0.67', 'neutral': '0.27', 'contradiction': '0.06'}","{'entailment': '0.77', 'neutral': '0.19', 'contradiction': '0.04'}",0.19999999999999998,Either Jose or Craig is a politician,Craig is a politician,Jose is a politician,"{'entailment': '0.79', 'neutral': '0.17', 'contradiction': '0.04'}","{'entailment': '0.60', 'neutral': '0.33', 'contradiction': '0.07'}",0.3800000000000001
