,text,hypo,entailment,neutral,contradiction
0,Connor is not a construction worker,Neither Connor nor Kwame is a construction worker,0.23,0.71,0.06
1,Kwame is not a construction worker,Neither Connor nor Kwame is a construction worker,0.10,0.84,0.07
2,LeShawn is not a historian,Neither LeShawn nor Juan is a historian,0.07,0.86,0.07
3,Juan is not a historian,Neither LeShawn nor Juan is a historian,0.22,0.55,0.22
4,Jacob is not a CEO,Neither Jacob nor Juan is a CEO,0.17,0.76,0.07
5,Juan is not a CEO,Neither Jacob nor Juan is a CEO,0.06,0.74,0.21
6,Amy is not a scientist,Neither Amy nor Ramon is a scientist,0.15,0.79,0.07
7,Ramon is not a scientist,Neither Amy nor Ramon is a scientist,0.08,0.77,0.15
8,Cadan is not a teacher,Neither Cadan nor Chen Wee is a teacher,0.37,0.49,0.14
9,Chen Wee is not a teacher,Neither Cadan nor Chen Wee is a teacher,0.31,0.56,0.13
10,Amy is not an employee,Neither Amy nor Lamar is an employee,0.09,0.80,0.11
11,Lamar is not an employee,Neither Amy nor Lamar is an employee,0.09,0.77,0.14
12,Craig is not a psychologist,Neither Craig nor Lamar is a psychologist,0.09,0.85,0.07
13,Lamar is not a psychologist,Neither Craig nor Lamar is a psychologist,0.08,0.81,0.10
14,Jenna is not a groom,Neither Jenna nor Chang Lee is a groom,0.04,0.92,0.04
15,Chang Lee is not a groom,Neither Jenna nor Chang Lee is a groom,0.07,0.76,0.17
16,Amy is not a professor,Neither Amy nor Tanisha is a professor,0.18,0.72,0.09
17,Tanisha is not a professor,Neither Amy nor Tanisha is a professor,0.06,0.71,0.23
18,Brown is not a handyman,Neither Brown nor Marquis is a handyman,0.12,0.82,0.07
19,Marquis is not a handyman,Neither Brown nor Marquis is a handyman,0.04,0.86,0.10
20,Greuze is not a designer,Neither Greuze nor Li is a designer,0.08,0.82,0.09
21,Li is not a designer,Neither Greuze nor Li is a designer,0.25,0.48,0.27
