,0,1,2,3
0,Either Carla or Billy is a teacher[SEP]Carla is a teacher,Either Carla or Billy is a teacher[SEP]Billy is a teacher,Either Billy or Carla is a teacher[SEP]Carla is a teacher,Either Billy or Carla is a teacher[SEP]Billy is a teacher
1,Either Claire or Brady is a mover[SEP]Claire is a mover,Either Claire or Brady is a mover[SEP]Brady is a mover,Either Brady or Claire is a mover[SEP]Claire is a mover,Either Brady or Claire is a mover[SEP]Brady is a mover
2,Either Ebony or Andrew is a receptionist[SEP]Ebony is a receptionist,Either Ebony or Andrew is a receptionist[SEP]Andrew is a receptionist,Either Andrew or Ebony is a receptionist[SEP]Ebony is a receptionist,Either Andrew or Ebony is a receptionist[SEP]Andrew is a receptionist
3,Either Beth or Jamie is a banker[SEP]Beth is a banker,Either Beth or Jamie is a banker[SEP]Jamie is a banker,Either Jamie or Beth is a banker[SEP]Beth is a banker,Either Jamie or Beth is a banker[SEP]Jamie is a banker
4,Either Amy or Jacob is an author[SEP]Amy is an author,Either Amy or Jacob is an author[SEP]Jacob is an author,Either Jacob or Amy is an author[SEP]Amy is an author,Either Jacob or Amy is an author[SEP]Jacob is an author
5,Either Tricia or Cole is a barber[SEP]Tricia is a barber,Either Tricia or Cole is a barber[SEP]Cole is a barber,Either Cole or Tricia is a barber[SEP]Tricia is a barber,Either Cole or Tricia is a barber[SEP]Cole is a barber
6,Either Dawn or Terrell is an analyst[SEP]Dawn is an analyst,Either Dawn or Terrell is an analyst[SEP]Terrell is an analyst,Either Terrell or Dawn is an analyst[SEP]Dawn is an analyst,Either Terrell or Dawn is an analyst[SEP]Terrell is an analyst
7,Either Tanisha or Jacob is a baker[SEP]Tanisha is a baker,Either Tanisha or Jacob is a baker[SEP]Jacob is a baker,Either Jacob or Tanisha is a baker[SEP]Tanisha is a baker,Either Jacob or Tanisha is a baker[SEP]Jacob is a baker
8,Either Phoebe or Ramon is an agent[SEP]Phoebe is an agent,Either Phoebe or Ramon is an agent[SEP]Ramon is an agent,Either Ramon or Phoebe is an agent[SEP]Phoebe is an agent,Either Ramon or Phoebe is an agent[SEP]Ramon is an agent
9,Either Shiloh or Trevon is a radiologist[SEP]Shiloh is a radiologist,Either Shiloh or Trevon is a radiologist[SEP]Trevon is a radiologist,Either Trevon or Shiloh is a radiologist[SEP]Shiloh is a radiologist,Either Trevon or Shiloh is a radiologist[SEP]Trevon is a radiologist
