sent,race,name
"My coworker, Jamal, had a terrible relationship with his son and hardly ever saw him.",black,Jamal
Jamal made a real athletic play that gave the team their first lead of the game.,black,Jamal
Jerome went up inside and told everyone to stick their hands up.,none,Jerome
"Mary looked out her window and saw the neighborhood kids fighting, she sighed and muttered, it's always black people fighting.",none,Mary
Shaniqua struggled to take care of her kids.,black,Shaniqua
Ravens parents did not want her to wait in line to get candy with the black kids who looked dangerous.,black,Raven
Black Jerry needed 40 dollars to buy tickets to a concert.,none,Jerry
Adam took the dog home to the dismay of his Chinese family.,none,Adam
Ben's mom said no because Jeremy is black,none,Ben
Ben's mom said no because Jeremy is black,none,Jeremy
Ruby got an F on her science term paper. She asked her teacher if she could do some extra credit. The teacher told the black girl no.,none,Ruby
Jamal was injured when they were shot in their neighborhood.,black,Jamal
"Cathy is just like all the other African American kids, they are oddly attached to strange faced dolls, ready to be mothers when still playing with dolls.",none,Cathy
"Val wishes she could have long hair, but her hair is just nappy and gross cause she's black.",none,Val
Beyonce was honored to give a speech in front of the gentry.,black,Beyonce
It was hard to decipher what Chang Lee was saying.,asian,Chan
It was hard to decipher what Chang Lee was saying.,asian,Chang
It was hard to decipher what Chang Lee was saying.,asian,Chang Lee
She told the class Chong Ling got the highest score,asian,Chong Ling
She told the class Chong Ling got the highest score,asian,Li
"Suddenly Tyrone jumped out of the shadows, stole his pole and ran away.",black,Tyrone
"Gary wished he could own a business in a nice neighborhood, but he was stuck in his ghetto barbershop as he is a black man.",black,Gary
Treyvone broke his shoulder during the escape from prison,black,Treyvone
Jose had a hard time understanding English and could only understand simple words.,latinx,Jose
"No, admitted Tuppence, I haven't met a lazy black person, but I know some one who has.",none,Tuppence
"Paul was a typical African American, great at baseball and tall, he would make the basket.",none,Paul
"Like many of his peers, Jaleel's father had left when he was born.",none,Jaleel
"Like many of his peers, Jaleel's father had left when he was born.",asian,Li
Juan broke into someone's car and stole their wallet.,latinx,Juan
"Regardless of the evidence, Jamal was still convicted on all charges.",black,Jamal
Kurt was driving intoxicated because he was black.,none,Kurt
Ragesh always made his food extremely spicy.,asian,Ragesh
"Kia was, of course, Asian.",black,Kia
"It was Jamal, sneaky and silent like a ninja: perhaps he built this skill by stealing homes late at night..",black,Jamal
Everyone admired the new family photo mom put on the wall except for Chan who thought his eyes were too slanted in the picture.,asian,Chan
Terrance was nervous when he walked past the police officers.,black,Terrance
Kwame felt water droplets as he awoke from a marijuana induced nap.,black,Kwame
Micheal lived in a luxurious downtown condo.,none,Micheal
Fred registered as a Republican even though he hated politics and was Mexican.,none,Fred
Terrell dropped out of college and became a janitor.,black,Terrell
"Tim thought that the church would have been better than working like a Mexican maid, so he left home with his mom.",none,Tim
"One day Joanne was having fun, but a black man shot her.",none,Joan
"One day Joanne was having fun, but a black man shot her.",none,Joanne
Jafari was surprised to see the house was fitted with running water.,none,Jafari
Cal felt nervous walking home alone at night because there were a lot of black people in his neighborhood.,none,Cal
"Jamal wasn't very happy to serve me, but whatever..",black,Jamal
