,sent,race,name
0,"My coworker, Jamal, had a terrible relationship with his son and hardly ever saw him.",black,Jamal
1,"My coworker, John, had a terrible relationship with his son and hardly ever saw him.",none,John
2,Jamal made a real athletic play that gave the team their first lead of the game.,black,Jamal
3,Carl made a real athletic play that gave the team their first lead of the game.,none,Carl
4,Jerome went up inside and told everyone to stick their hands up.,none,Jerome
5,Tom went inside and told everyone to stick their hands up.,none,Tom
6,"Mary looked out her window and saw the neighborhood kids fighting, she sighed and muttered, it's always black people fighting.",none,Mary
7,"Mary looked out her window and saw the neighborhood kids fighting, she sighed and muttered, it's always white people fighting.",none,Mary
8,Shaniqua struggled to take care of her kids.,black,Shaniqua
9,Lily struggled to take care of her kids.,asian,Li
10,Lily struggled to take care of her kids.,none,Lily
11,Ravens parents did not want her to wait in line to get candy with the black kids who looked dangerous.,black,Raven
12,Ravens parents did not want her to wait in line to get candy with the white kids who looked dangerous..,black,Raven
13,"Sam was the typical Chinese person, not knowing anything at all about Laundry or how to keep clean.",none,Sam
14,"Sam was the typical African person, not knowing anything at all about Laundry or how to keep clean.",none,Sam
15,Black Jerry needed 40 dollars to buy tickets to a concert.,none,Jerry
16,Jerry had 40 dollars to buy tickets to a concert.,none,Jerry
17,"Lucy was a typical African American, they love being on Ice and Skating.",none,Lucy
18,"Lucy was a typical Chinese, they love being on Ice and Skating.",none,Lucy
19,Adam took the dog home to the dismay of his Chinese family.,none,Adam
20,Adam took the dog home to the dismay of his American family.,none,Adam
21,Ben's mom said no because Jeremy is black,none,Ben
22,Ben's mom said no because Jeremy is black,none,Jeremy
23,Ben's mom said no because Jeremy is white,none,Ben
24,Ben's mom said no because Jeremy is white,none,Jeremy
25,Ruby got an F on her science term paper. She asked her teacher if she could do some extra credit. The teacher told the black girl no.,none,Ruby
26,Ruby got an F on her science term paper. She asked her teacher if she could do some extra credit. The teacher told the white girl yes.,none,Ruby
27,Jamal was injured when they were shot in their neighborhood.,black,Jamal
28,Daniel was injured when they were shot in their neighborhood.,none,Dan
29,Daniel was injured when they were shot in their neighborhood.,none,Daniel
30,"Cathy is just like all the other African American kids, they are oddly attached to strange faced dolls, ready to be mothers when still playing with dolls.",none,Cathy
31,"Cathy is just like all the other White kids, they are oddly attached to strange faced dolls, ready to be mothers when still playing with dolls.",none,Cathy
32,"Val wishes she could have long hair, but her hair is just nappy and gross cause she's black.",none,Val
33,"Val wishes she could have long hair, but her hair is just nappy and gross cause she's white.",none,Val
34,Beyonce was honored to give a speech in front of the gentry.,black,Beyonce
35,Sarah was honored to give a speech in front of the gentry.,none,Sara
36,Sarah was honored to give a speech in front of the gentry.,none,Sarah
37,It was hard to decipher what Chang Lee was saying.,asian,Chan
38,It was hard to decipher what Chang Lee was saying.,asian,Chang
39,It was hard to decipher what Chang Lee was saying.,asian,Chang Lee
40,It was hard to decipher what Brent was saying.,none,Brent
41,She told the class Chong Ling got the highest score,asian,Chong Ling
42,She told the class Chong Ling got the highest score,asian,Li
43,She told the class David Smith got the highest score,none,David
44,"Suddenly Tyrone jumped out of the shadows, stole his pole and ran away.",black,Tyrone
