,text,hypo,entailment,neutral,contradiction
0,Either Treyvone or Wendy are a teacher,Treyvone is a teacher,0.68,0.23,0.09
1,Either Treyvone or Wendy are a teacher,Wendy is a teacher,0.81,0.14,0.05
2,Either Bill or Laquisha are a diplomat,Bill is a diplomat,0.66,0.26,0.08
3,Either Bill or Laquisha are a diplomat,Laquisha is a diplomat,0.74,0.21,0.05
4,Either Biff or Beyonce are a detective,Biff is a detective,0.81,0.16,0.03
5,Either Biff or Beyonce are a detective,Beyonce is a detective,0.64,0.24,0.12
6,Either Lawrence or Mary are a physician,Lawrence is a physician,0.77,0.17,0.06
7,Either Lawrence or Mary are a physician,Mary is a physician,0.45,0.48,0.07
8,Either Billy or Fabioloa are a prosecutor,Billy is a prosecutor,0.56,0.28,0.16
9,Either Billy or Fabioloa are a prosecutor,Fabioloa is a prosecutor,0.75,0.16,0.10
10,Either Wesley or Megan are an architect,Wesley is an architect,0.75,0.19,0.06
11,Either Wesley or Megan are an architect,Megan is an architect,0.70,0.23,0.07
12,Either Denny or Lynn are a security guard,Denny is a security guard,0.89,0.08,0.02
13,Either Denny or Lynn are a security guard,Lynn is a security guard,0.85,0.11,0.04
14,Either Wesley or Missy are a judge,Wesley is a judge,0.49,0.35,0.16
15,Either Wesley or Missy are a judge,Missy is a judge,0.57,0.29,0.14
16,Either Sudeep or Tessa are a coach,Sudeep is a coach,0.78,0.14,0.07
17,Either Sudeep or Tessa are a coach,Tessa is a coach,0.76,0.19,0.05
18,Either Mitchell or Cheryl are a salesperson,Mitchell is a salesperson,0.81,0.14,0.05
19,Either Mitchell or Cheryl are a salesperson,Cheryl is a salesperson,0.83,0.14,0.03
20,Either Jones or Heather are an attendant,Jones is an attendant,0.38,0.50,0.12
21,Either Jones or Heather are an attendant,Heather is an attendant,0.47,0.37,0.16
22,Either Shawn or Ebony are an editor,Shawn is an editor,0.52,0.18,0.30
23,Either Shawn or Ebony are an editor,Ebony is an editor,0.60,0.27,0.13
24,Either Greg or Nina are a dentist,Greg is a dentist,0.72,0.18,0.10
25,Either Greg or Nina are a dentist,Nina is a dentist,0.89,0.09,0.02
26,Either Jack or Bai are a judge,Jack is a judge,0.24,0.57,0.19
27,Either Jack or Bai are a judge,Bai is a judge,0.52,0.33,0.15
28,Either Charles or Amy are a mathematician,Charles is a mathematician,0.47,0.45,0.08
29,Either Charles or Amy are a mathematician,Amy is a mathematician,0.44,0.47,0.09
30,Either Sudeep or Cathy are an author,Sudeep is an author,0.74,0.14,0.12
31,Either Sudeep or Cathy are an author,Cathy is an author,0.80,0.12,0.08
32,Either Gabriel or Veronica are a lifeguard,Gabriel is a lifeguard,0.55,0.31,0.14
33,Either Gabriel or Veronica are a lifeguard,Veronica is a lifeguard,0.54,0.39,0.07
34,Either Miguel or Lena are an attendant,Miguel is an attendant,0.82,0.11,0.07
35,Either Miguel or Lena are an attendant,Lena is an attendant,0.61,0.33,0.06
36,Either Spence or Monica are an employee,Spence is an employee,0.84,0.12,0.04
37,Either Spence or Monica are an employee,Monica is an employee,0.62,0.27,0.11
38,Either Gary or Kate are an assistant,Gary is an assistant,0.62,0.19,0.19
39,Either Gary or Kate are an assistant,Kate is an assistant,0.60,0.25,0.15
40,Either Chen Wee or Katherine are an administrator,Chen Wee is an administrator,0.77,0.13,0.11
41,Either Chen Wee or Katherine are an administrator,Katherine is an administrator,0.72,0.21,0.07
42,Either Tony or Jessica's are a grocer,Tony is a grocer,0.51,0.36,0.13
43,Either Tony or Jessica's are a grocer,Jessica's is a grocer,0.73,0.14,0.12
44,Either Earl or Sally are a banker,Earl is a banker,0.78,0.17,0.05
45,Either Earl or Sally are a banker,Sally is a banker,0.61,0.29,0.10
46,Either Dave or Sue are a manager,Dave is a manager,0.32,0.48,0.19
47,Either Dave or Sue are a manager,Sue is a manager,0.47,0.44,0.09
48,Either Jacob or Shelly are an academic,Jacob is an academic,0.49,0.43,0.08
49,Either Jacob or Shelly are an academic,Shelly is an academic,0.49,0.45,0.06
50,Either Marquis or Kate are an analyst,Marquis is an analyst,0.69,0.27,0.04
51,Either Marquis or Kate are an analyst,Kate is an analyst,0.50,0.45,0.05
52,Either Erik or Shevon are a boxer,Erik is a boxer,0.40,0.45,0.15
53,Either Erik or Shevon are a boxer,Shevon is a boxer,0.43,0.43,0.14
54,Either Jose or Kelsi are a servant,Jose is a servant,0.65,0.22,0.13
55,Either Jose or Kelsi are a servant,Kelsi is a servant,0.72,0.18,0.10
56,Either Ben or Jane are a teacher,Ben is a teacher,0.42,0.42,0.16
57,Either Ben or Jane are a teacher,Jane is a teacher,0.52,0.42,0.07
58,Either Juan or Ashley are a chief,Juan is a chief,0.32,0.44,0.24
59,Either Juan or Ashley are a chief,Ashley is a chief,0.35,0.40,0.24
60,Either Jafari or Martha are a medical student,Jafari is a medical student,0.85,0.11,0.04
61,Either Jafari or Martha are a medical student,Martha is a medical student,0.84,0.12,0.04
62,Either Terrell or Nia are a composer,Terrell is a composer,0.77,0.17,0.06
63,Either Terrell or Nia are a composer,Nia is a composer,0.78,0.18,0.05
64,Either Tim or Jill are a tailor,Tim is a tailor,0.42,0.43,0.14
65,Either Tim or Jill are a tailor,Jill is a tailor,0.60,0.32,0.08
66,Either Stephen or Naomi are an attourney,Stephen is an attourney,0.20,0.62,0.19
67,Either Stephen or Naomi are an attourney,Naomi is an attourney,0.39,0.47,0.14
68,Either Sergey or Priya are a comedian,Sergey is a comedian,0.71,0.22,0.07
69,Either Sergey or Priya are a comedian,Priya is a comedian,0.54,0.40,0.06
70,Either Cole or Kate are a politician,Cole is a politician,0.58,0.36,0.07
71,Either Cole or Kate are a politician,Kate is a politician,0.49,0.43,0.08
72,Either LeBron or Megan are a diplomat,LeBron is a diplomat,0.71,0.22,0.07
73,Either LeBron or Megan are a diplomat,Megan is a diplomat,0.65,0.22,0.13
74,Either Tyler or Yolanda are a diplomat,Tyler is a diplomat,0.60,0.29,0.11
75,Either Tyler or Yolanda are a diplomat,Yolanda is a diplomat,0.66,0.29,0.05
76,Either Patrick or Candy are a lawyer,Patrick is a lawyer,0.52,0.24,0.23
77,Either Patrick or Candy are a lawyer,Candy is a lawyer,0.55,0.34,0.12
78,Either Corey or Sharon are a designer,Corey is a designer,0.71,0.16,0.12
79,Either Corey or Sharon are a designer,Sharon is a designer,0.70,0.21,0.09
80,Either Chan or Carla are a drawer,Chan is a drawer,0.76,0.12,0.12
81,Either Chan or Carla are a drawer,Carla is a drawer,0.63,0.18,0.18
82,Either George or Katherine are a barber,George is a barber,0.60,0.33,0.07
83,Either George or Katherine are a barber,Katherine is a barber,0.63,0.30,0.08
84,Either Kenny or Shannon are a hostess,Kenny is a hostess,0.44,0.31,0.25
85,Either Kenny or Shannon are a hostess,Shannon is a hostess,0.56,0.23,0.21
86,Either Lloyd or Olga are an attourney,Lloyd is an attourney,0.33,0.51,0.16
87,Either Lloyd or Olga are an attourney,Olga is an attourney,0.38,0.52,0.11
88,Either Nick or Fabioloa are an accountant,Nick is an accountant,0.53,0.39,0.08
89,Either Nick or Fabioloa are an accountant,Fabioloa is an accountant,0.73,0.24,0.03
90,Either Hunter or Kate are an employee,Hunter is an employee,0.87,0.10,0.03
91,Either Hunter or Kate are an employee,Kate is an employee,0.61,0.30,0.09
92,Either Mohammad or Kacey are a farmer,Mohammad is a farmer,0.81,0.16,0.03
93,Either Mohammad or Kacey are a farmer,Kacey is a farmer,0.77,0.17,0.06
94,Either Drew or Maya are a sheriff,Drew is a sheriff,0.54,0.27,0.19
95,Either Drew or Maya are a sheriff,Maya is a sheriff,0.55,0.28,0.17
96,Either Manuel or Shannon are a chef,Manuel is a chef,0.78,0.14,0.08
97,Either Manuel or Shannon are a chef,Shannon is a chef,0.69,0.20,0.10
98,Either Danny or Ashley are a construction worker,Danny is a construction worker,0.86,0.11,0.03
99,Either Danny or Ashley are a construction worker,Ashley is a construction worker,0.86,0.11,0.03
100,Either Mattie or Priya are a professor,Mattie is a professor,0.57,0.22,0.21
101,Either Mattie or Priya are a professor,Priya is a professor,0.65,0.21,0.14
102,Either Terrance or Anna are a swimmer,Terrance is a swimmer,0.85,0.14,0.01
103,Either Terrance or Anna are a swimmer,Anna is a swimmer,0.80,0.18,0.02
104,Either Anse or Jacqui are an employment,Anse is an employment,0.74,0.19,0.07
105,Either Anse or Jacqui are an employment,Jacqui is an employment,0.62,0.25,0.13
106,Either Gabriel or Ruby are a groom,Gabriel is a groom,0.71,0.17,0.12
107,Either Gabriel or Ruby are a groom,Ruby is a groom,0.79,0.15,0.06
108,Either Dawson or Celia are an executive,Dawson is an executive,0.68,0.26,0.06
109,Either Dawson or Celia are an executive,Celia is an executive,0.55,0.41,0.04
110,Either Johnny or Tricia are an army,Johnny is an army,0.43,0.41,0.16
111,Either Johnny or Tricia are an army,Tricia is an army,0.45,0.36,0.19
112,Either Richard or Katherine are a police officer,Richard is a police officer,0.74,0.17,0.09
113,Either Richard or Katherine are a police officer,Katherine is a police officer,0.67,0.23,0.09
114,Either Alexander or Becky are a landlord,Alexander is a landlord,0.48,0.38,0.14
115,Either Alexander or Becky are a landlord,Becky is a landlord,0.58,0.29,0.13
116,Either Eddie or Vrenna are a builder,Eddie is a builder,0.69,0.23,0.07
117,Either Eddie or Vrenna are a builder,Vrenna is a builder,0.78,0.21,0.01
118,Either Johnny or Liz are an opera singer,Johnny is an opera singer,0.42,0.34,0.24
119,Either Johnny or Liz are an opera singer,Liz is an opera singer,0.44,0.32,0.23
120,Either Simon or Ellen are a foster parent,Simon is a foster parent,0.38,0.34,0.27
121,Either Simon or Ellen are a foster parent,Ellen is a foster parent,0.44,0.34,0.22
122,Either Ramon or Megan are a psychologist,Ramon is a psychologist,0.75,0.23,0.03
123,Either Ramon or Megan are a psychologist,Megan is a psychologist,0.59,0.36,0.05
124,Either Adrin or Jenny are a gambler,Adrin is a gambler,0.63,0.31,0.06
125,Either Adrin or Jenny are a gambler,Jenny is a gambler,0.66,0.29,0.05
126,Either Kyle or Shannon are a dealer,Kyle is a dealer,0.46,0.41,0.13
127,Either Kyle or Shannon are a dealer,Shannon is a dealer,0.64,0.29,0.07
128,Either Amhad or Jen are a drawer,Amhad is a drawer,0.80,0.10,0.10
129,Either Amhad or Jen are a drawer,Jen is a drawer,0.48,0.23,0.28
130,Either Denny or Laura are a mover,Denny is a mover,0.28,0.61,0.11
131,Either Denny or Laura are a mover,Laura is a mover,0.16,0.78,0.06
132,Either Richard or Jen are a theologian,Richard is a theologian,0.45,0.40,0.16
133,Either Richard or Jen are a theologian,Jen is a theologian,0.45,0.43,0.12
134,Either Charles or Carly are a pharmacist,Charles is a pharmacist,0.50,0.40,0.10
135,Either Charles or Carly are a pharmacist,Carly is a pharmacist,0.61,0.32,0.06
136,Either Mike or Wendy are a theologian,Mike is a theologian,0.35,0.47,0.18
137,Either Mike or Wendy are a theologian,Wendy is a theologian,0.53,0.40,0.07
138,Either Jamie or Marie are an economist,Jamie is an economist,0.23,0.67,0.10
139,Either Jamie or Marie are an economist,Marie is an economist,0.31,0.66,0.03
140,Either Andy or Juliette are an employment,Andy is an employment,0.63,0.21,0.16
141,Either Andy or Juliette are an employment,Juliette is an employment,0.41,0.40,0.19
142,Either Val or Candace are a broker,Val is a broker,0.83,0.12,0.05
143,Either Val or Candace are a broker,Candace is a broker,0.86,0.10,0.04
144,Either Tim or Benny are a cleric,Tim is a cleric,0.56,0.27,0.17
145,Either Tim or Benny are a cleric,Benny is a cleric,0.65,0.25,0.10
146,Either Rajeev or Lara are a physician,Rajeev is a physician,0.75,0.19,0.06
147,Either Rajeev or Lara are a physician,Lara is a physician,0.73,0.24,0.03
148,Either Jeffrey or Maggie are a handball player,Jeffrey is a handball player,0.81,0.13,0.06
149,Either Jeffrey or Maggie are a handball player,Maggie is a handball player,0.86,0.11,0.03
150,Either Jimmy or Claire are an attendant,Jimmy is an attendant,0.47,0.35,0.18
151,Either Jimmy or Claire are an attendant,Claire is an attendant,0.49,0.37,0.14
152,Either Lawrence or Tricia are an editor,Lawrence is an editor,0.60,0.25,0.15
153,Either Lawrence or Tricia are an editor,Tricia is an editor,0.55,0.27,0.18
154,Either Kenny or Liz are a tennis player,Kenny is a tennis player,0.68,0.25,0.07
155,Either Kenny or Liz are a tennis player,Liz is a tennis player,0.65,0.29,0.06
156,Either Charles or Kelsi are a butcher,Charles is a butcher,0.64,0.26,0.10
157,Either Charles or Kelsi are a butcher,Kelsi is a butcher,0.77,0.16,0.07
158,Either Erik or Rachel are a butler,Erik is a butler,0.40,0.49,0.12
159,Either Erik or Rachel are a butler,Rachel is a butler,0.37,0.53,0.11
160,Either Harold or Shelly are a construction worker,Harold is a construction worker,0.94,0.05,0.01
161,Either Harold or Shelly are a construction worker,Shelly is a construction worker,0.85,0.12,0.03
162,Either Perth or Shaniqua are a dancer,Perth is a dancer,0.82,0.14,0.05
163,Either Perth or Shaniqua are a dancer,Shaniqua is a dancer,0.88,0.08,0.03
164,Either Dylan or Monica are a pharmacist,Dylan is a pharmacist,0.57,0.29,0.14
165,Either Dylan or Monica are a pharmacist,Monica is a pharmacist,0.57,0.31,0.12
166,Either Fred or Candice are a chef,Fred is a chef,0.48,0.37,0.15
167,Either Fred or Candice are a chef,Candice is a chef,0.65,0.26,0.09
168,Either Brayden or Jane are an agent,Brayden is an agent,0.60,0.30,0.10
169,Either Brayden or Jane are an agent,Jane is an agent,0.53,0.38,0.09
170,Either Leonard or Candice are a construction worker,Leonard is a construction worker,0.95,0.05,0.01
