,prem,hypo1,hypo2,score1,score2,diff
489,Either James or Beth are a surgeon,James is a surgeon,Beth is a surgeon,"{'entailment': '0.27', 'neutral': '0.61', 'contradiction': '0.12'}","{'entailment': '0.72', 'neutral': '0.22', 'contradiction': '0.06'}",0.8999999999999999
410,Either Joseph or Olga are a psychologist,Joseph is a psychologist,Olga is a psychologist,"{'entailment': '0.94', 'neutral': '0.04', 'contradiction': '0.02'}","{'entailment': '0.59', 'neutral': '0.27', 'contradiction': '0.14'}",0.7
448,Either Ming or Abigail are a pianist,Ming is a pianist,Abigail is a pianist,"{'entailment': '0.51', 'neutral': '0.40', 'contradiction': '0.09'}","{'entailment': '0.84', 'neutral': '0.15', 'contradiction': '0.01'}",0.6599999999999999
177,Either Charlie or Raven are a magician,Charlie is a magician,Raven is a magician,"{'entailment': '0.65', 'neutral': '0.20', 'contradiction': '0.15'}","{'entailment': '0.33', 'neutral': '0.47', 'contradiction': '0.20'}",0.64
440,Either Cody or Janet are an electrician,Cody is an electrician,Janet is an electrician,"{'entailment': '0.86', 'neutral': '0.08', 'contradiction': '0.07'}","{'entailment': '0.54', 'neutral': '0.19', 'contradiction': '0.27'}",0.6299999999999999
248,Either Mitchell or Precious are a cook,Mitchell is a cook,Precious is a cook,"{'entailment': '0.80', 'neutral': '0.09', 'contradiction': '0.11'}","{'entailment': '0.49', 'neutral': '0.28', 'contradiction': '0.23'}",0.6200000000000001
247,Either Zack or Grace are a chess player,Zack is a chess player,Grace is a chess player,"{'entailment': '0.44', 'neutral': '0.23', 'contradiction': '0.33'}","{'entailment': '0.75', 'neutral': '0.18', 'contradiction': '0.07'}",0.62
333,Either LeShawn or Kassidy are an accountant,LeShawn is an accountant,Kassidy is an accountant,"{'entailment': '0.32', 'neutral': '0.55', 'contradiction': '0.13'}","{'entailment': '0.62', 'neutral': '0.32', 'contradiction': '0.06'}",0.6000000000000001
16,Either Greg or Jacqui are a teacher,Greg is a teacher,Jacqui is a teacher,"{'entailment': '0.85', 'neutral': '0.09', 'contradiction': '0.06'}","{'entailment': '0.56', 'neutral': '0.29', 'contradiction': '0.14'}",0.5699999999999998
403,Either Lars or Carly are a mover,Lars is a mover,Carly is a mover,"{'entailment': '0.37', 'neutral': '0.34', 'contradiction': '0.29'}","{'entailment': '0.65', 'neutral': '0.21', 'contradiction': '0.14'}",0.56
197,Either Brad or Sherry are a mechanic,Brad is a mechanic,Sherry is a mechanic,"{'entailment': '0.80', 'neutral': '0.11', 'contradiction': '0.09'}","{'entailment': '0.52', 'neutral': '0.33', 'contradiction': '0.15'}",0.56
498,Either Mitchell or Ruby are an executive,Mitchell is an executive,Ruby is an executive,"{'entailment': '0.50', 'neutral': '0.40', 'contradiction': '0.10'}","{'entailment': '0.77', 'neutral': '0.20', 'contradiction': '0.02'}",0.55
104,Either Lance or Barbara are an employment,Lance is an employment,Barbara is an employment,"{'entailment': '0.77', 'neutral': '0.11', 'contradiction': '0.12'}","{'entailment': '0.50', 'neutral': '0.27', 'contradiction': '0.23'}",0.54
232,Either Steve or Shannon are a lawn mower,Steve is a lawn mower,Shannon is a lawn mower,"{'entailment': '0.88', 'neutral': '0.06', 'contradiction': '0.06'}","{'entailment': '0.61', 'neutral': '0.27', 'contradiction': '0.12'}",0.54
89,Either Jimmy or Janet are a boxer,Jimmy is a boxer,Janet is a boxer,"{'entailment': '0.77', 'neutral': '0.15', 'contradiction': '0.08'}","{'entailment': '0.50', 'neutral': '0.33', 'contradiction': '0.16'}",0.53
