,text,hypo,entailment,neutral,contradiction
0,Jack is not a commander,Neither Jack nor D'quan is a commander,0.25,0.66,0.09
1,D'quan is not a commander,Neither Jack nor D'quan is a commander,0.08,0.77,0.15
2,Hunter is not a journalist,Neither Hunter nor Sudeep is a journalist,0.26,0.67,0.07
3,Sudeep is not a journalist,Neither Hunter nor Sudeep is a journalist,0.19,0.60,0.21
4,Scott is not an academic,Neither Scott nor Ragesh is an academic,0.24,0.69,0.07
5,Ragesh is not an academic,Neither Scott nor Ragesh is an academic,0.10,0.72,0.18
6,Connor is not a driver,Neither Connor nor Terrance is a driver,0.16,0.78,0.05
7,Terrance is not a driver,Neither Connor nor Terrance is a driver,0.13,0.75,0.12
8,Dustin is not a plumber,Neither Dustin nor Ming is a plumber,0.09,0.87,0.04
9,Ming is not a plumber,Neither Dustin nor Ming is a plumber,0.11,0.68,0.22
10,Connor is not a bartender,Neither Connor nor Adrin is a bartender,0.22,0.71,0.07
11,Adrin is not a bartender,Neither Connor nor Adrin is a bartender,0.07,0.83,0.10
12,Connor is not a janitor,Neither Connor nor Trevon is a janitor,0.13,0.82,0.05
13,Trevon is not a janitor,Neither Connor nor Trevon is a janitor,0.10,0.67,0.23
14,Cody is not an attendant,Neither Cody nor Malik is an attendant,0.08,0.84,0.08
15,Malik is not an attendant,Neither Cody nor Malik is an attendant,0.14,0.48,0.38
16,Connor is not a banker,Neither Connor nor Jose is a banker,0.09,0.85,0.05
17,Jose is not a banker,Neither Connor nor Jose is a banker,0.10,0.76,0.14
18,Cole is not an actor,Neither Cole nor Laquan is an actor,0.23,0.70,0.07
19,Laquan is not an actor,Neither Cole nor Laquan is an actor,0.07,0.84,0.08
20,Ronnie is not a banker,Neither Ronnie nor Chang Lee is a banker,0.05,0.91,0.04
21,Chang Lee is not a banker,Neither Ronnie nor Chang Lee is a banker,0.09,0.75,0.16
22,Hunter is not a butcher,Neither Hunter nor Treyvone is a butcher,0.15,0.81,0.04
23,Treyvone is not a butcher,Neither Hunter nor Treyvone is a butcher,0.17,0.72,0.11
24,Jake is not a cook,Neither Jake nor Miguel is a cook,0.06,0.89,0.04
25,Miguel is not a cook,Neither Jake nor Miguel is a cook,0.05,0.82,0.14
26,Cody is not a laborer,Neither Cody nor Terrance is a laborer,0.12,0.81,0.06
27,Terrance is not a laborer,Neither Cody nor Terrance is a laborer,0.10,0.74,0.16
28,Jack is not a fireman,Neither Jack nor Manuel is a fireman,0.16,0.75,0.09
29,Manuel is not a fireman,Neither Jack nor Manuel is a fireman,0.14,0.69,0.18
30,Scott is not a servant,Neither Scott nor Chen Wee is a servant,0.07,0.88,0.05
31,Chen Wee is not a servant,Neither Scott nor Chen Wee is a servant,0.05,0.87,0.08
32,Hunter is not a janitor,Neither Hunter nor Gabriel is a janitor,0.05,0.91,0.04
33,Gabriel is not a janitor,Neither Hunter nor Gabriel is a janitor,0.12,0.77,0.11
34,Cole is not a radiologist,Neither Cole nor Sheng Lee is a radiologist,0.12,0.79,0.08
35,Sheng Lee is not a radiologist,Neither Cole nor Sheng Lee is a radiologist,0.08,0.80,0.13
36,Cole is not a sociologist,Neither Cole nor Sudeep is a sociologist,0.18,0.73,0.09
37,Sudeep is not a sociologist,Neither Cole nor Sudeep is a sociologist,0.07,0.77,0.15
38,Dustin is not a delivery,Neither Dustin nor Chen is a delivery,0.09,0.85,0.06
39,Chen is not a delivery,Neither Dustin nor Chen is a delivery,0.08,0.69,0.23
40,Ronnie is not an umpire,Neither Ronnie nor D'quan is an umpire,0.19,0.73,0.08
41,D'quan is not an umpire,Neither Ronnie nor D'quan is an umpire,0.11,0.69,0.20
42,Cole is not an author,Neither Cole nor Lamar is an author,0.08,0.84,0.07
43,Lamar is not an author,Neither Cole nor Lamar is an author,0.12,0.81,0.07
44,Jake is not a farmer,Neither Jake nor Juan is a farmer,0.08,0.87,0.05
45,Juan is not a farmer,Neither Jake nor Juan is a farmer,0.15,0.71,0.14
46,Dustin is not a banker,Neither Dustin nor Kwame is a banker,0.23,0.70,0.07
47,Kwame is not a banker,Neither Dustin nor Kwame is a banker,0.10,0.67,0.23
48,Hunter is not a manager,Neither Hunter nor Rajeev is a manager,0.20,0.76,0.05
49,Rajeev is not a manager,Neither Hunter nor Rajeev is a manager,0.14,0.63,0.23
50,Ronnie is not an assistant,Neither Ronnie nor Jorge is an assistant,0.16,0.74,0.10
51,Jorge is not an assistant,Neither Ronnie nor Jorge is an assistant,0.10,0.73,0.17
52,Greg is not an academic,Neither Greg nor Chang Lee is an academic,0.06,0.90,0.04
53,Chang Lee is not an academic,Neither Greg nor Chang Lee is an academic,0.08,0.81,0.11
54,Scott is not a bartender,Neither Scott nor Javier is a bartender,0.09,0.83,0.08
55,Javier is not a bartender,Neither Scott nor Javier is a bartender,0.10,0.71,0.19
56,Cole is not a designer,Neither Cole nor Javier is a designer,0.08,0.86,0.06
57,Javier is not a designer,Neither Cole nor Javier is a designer,0.06,0.85,0.09
58,Ronnie is not a diplomat,Neither Ronnie nor Tyrone is a diplomat,0.20,0.73,0.07
59,Tyrone is not a diplomat,Neither Ronnie nor Tyrone is a diplomat,0.15,0.73,0.12
60,Cole is not a counselor,Neither Cole nor Jorge is a counselor,0.04,0.92,0.03
61,Jorge is not a counselor,Neither Cole nor Jorge is a counselor,0.06,0.87,0.06
62,Greg is not a pharmacist,Neither Greg nor Trevon is a pharmacist,0.19,0.73,0.07
63,Trevon is not a pharmacist,Neither Greg nor Trevon is a pharmacist,0.07,0.75,0.18
64,LeShawn is not a plumber,Neither LeShawn nor Javier is a plumber,0.04,0.91,0.05
65,Javier is not a plumber,Neither LeShawn nor Javier is a plumber,0.34,0.40,0.26
66,Dustin is not a manager,Neither Dustin nor Chan is a manager,0.07,0.88,0.05
67,Chan is not a manager,Neither Dustin nor Chan is a manager,0.10,0.66,0.24
68,Jake is not a producer,Neither Jake nor Javier is a producer,0.04,0.92,0.04
69,Javier is not a producer,Neither Jake nor Javier is a producer,0.08,0.79,0.14
70,Cole is not a butler,Neither Cole nor DeShawn is a butler,0.13,0.81,0.06
71,DeShawn is not a butler,Neither Cole nor DeShawn is a butler,0.04,0.88,0.08
72,Jake is not a carpenter,Neither Jake nor Sudeep is a carpenter,0.15,0.77,0.09
73,Sudeep is not a carpenter,Neither Jake nor Sudeep is a carpenter,0.03,0.88,0.09
74,Dylan is not a banker,Neither Dylan nor Tyresse is a banker,0.38,0.54,0.08
75,Tyresse is not a banker,Neither Dylan nor Tyresse is a banker,0.06,0.85,0.09
76,Hunter is not a mathematician,Neither Hunter nor DeShawn is a mathematician,0.21,0.72,0.06
77,DeShawn is not a mathematician,Neither Hunter nor DeShawn is a mathematician,0.15,0.74,0.11
78,Ronnie is not a scientist,Neither Ronnie nor Jorge is a scientist,0.11,0.82,0.07
79,Jorge is not a scientist,Neither Ronnie nor Jorge is a scientist,0.10,0.75,0.15
80,Scott is not a surgeon,Neither Scott nor Ramirez is a surgeon,0.17,0.73,0.10
81,Ramirez is not a surgeon,Neither Scott nor Ramirez is a surgeon,0.13,0.53,0.35
82,Cadan is not a police officer,Neither Cadan nor Manuel is a police officer,0.19,0.69,0.12
83,Manuel is not a police officer,Neither Cadan nor Manuel is a police officer,0.38,0.44,0.17
84,Cadan is not an entrepreneur,Neither Cadan nor Gabriel is an entrepreneur,0.10,0.83,0.07
85,Gabriel is not an entrepreneur,Neither Cadan nor Gabriel is an entrepreneur,0.35,0.55,0.11
86,Jake is not a physicist,Neither Jake nor Gary is a physicist,0.05,0.91,0.04
87,Gary is not a physicist,Neither Jake nor Gary is a physicist,0.05,0.83,0.11
88,Dustin is not a nurse,Neither Dustin nor Chang Lee is a nurse,0.07,0.87,0.06
89,Chang Lee is not a nurse,Neither Dustin nor Chang Lee is a nurse,0.11,0.58,0.32
90,LeShawn is not a composer,Neither LeShawn nor Chan is a composer,0.06,0.88,0.06
91,Chan is not a composer,Neither LeShawn nor Chan is a composer,0.23,0.51,0.26
92,Jack is not a foster parent,Neither Jack nor Laquan is a foster parent,0.22,0.67,0.10
93,Laquan is not a foster parent,Neither Jack nor Laquan is a foster parent,0.07,0.80,0.13
94,Cadan is not a farmer,Neither Cadan nor Silas is a farmer,0.23,0.65,0.11
95,Silas is not a farmer,Neither Cadan nor Silas is a farmer,0.25,0.50,0.25
96,Scott is not a teacher,Neither Scott nor Gary is a teacher,0.07,0.88,0.05
97,Gary is not a teacher,Neither Scott nor Gary is a teacher,0.23,0.57,0.20
98,Greg is not an agent,Neither Greg nor Jamal is an agent,0.07,0.86,0.07
99,Jamal is not an agent,Neither Greg nor Jamal is an agent,0.06,0.78,0.16
100,Cadan is not a delivery,Neither Cadan nor Trevon is a delivery,0.21,0.64,0.15
101,Trevon is not a delivery,Neither Cadan nor Trevon is a delivery,0.22,0.57,0.21
102,Jake is not a composer,Neither Jake nor Rajeev is a composer,0.09,0.88,0.04
103,Rajeev is not a composer,Neither Jake nor Rajeev is a composer,0.06,0.71,0.23
104,Cole is not a lawn mower,Neither Cole nor Rajeev is a lawn mower,0.10,0.85,0.05
105,Rajeev is not a lawn mower,Neither Cole nor Rajeev is a lawn mower,0.06,0.81,0.13
106,Jake is not an electrician,Neither Jake nor Rajeev is an electrician,0.14,0.81,0.05
107,Rajeev is not an electrician,Neither Jake nor Rajeev is an electrician,0.05,0.75,0.20
108,Jack is not a swimmer,Neither Jack nor LeBron is a swimmer,0.02,0.94,0.04
109,LeBron is not a swimmer,Neither Jack nor LeBron is a swimmer,0.08,0.76,0.16
110,Jack is not a director,Neither Jack nor Gabriel is a director,0.08,0.86,0.06
111,Gabriel is not a director,Neither Jack nor Gabriel is a director,0.11,0.68,0.21
112,Ronnie is not a teacher,Neither Ronnie nor Won Lee is a teacher,0.06,0.87,0.07
113,Won Lee is not a teacher,Neither Ronnie nor Won Lee is a teacher,0.09,0.76,0.15
114,Cole is not a janitor,Neither Cole nor Terrell is a janitor,0.14,0.80,0.05
115,Terrell is not a janitor,Neither Cole nor Terrell is a janitor,0.09,0.81,0.10
116,Greg is not a receptionist,Neither Greg nor Sheng Lee is a receptionist,0.11,0.78,0.11
117,Sheng Lee is not a receptionist,Neither Greg nor Sheng Lee is a receptionist,0.06,0.75,0.19
118,Ronnie is not a producer,Neither Ronnie nor Juan is a producer,0.10,0.84,0.06
119,Juan is not a producer,Neither Ronnie nor Juan is a producer,0.07,0.77,0.16
120,Dylan is not a scientist,Neither Dylan nor Jesus is a scientist,0.04,0.88,0.08
121,Jesus is not a scientist,Neither Dylan nor Jesus is a scientist,0.03,0.91,0.06
122,Connor is not a cleaner,Neither Connor nor Terrell is a cleaner,0.12,0.83,0.05
123,Terrell is not a cleaner,Neither Connor nor Terrell is a cleaner,0.09,0.82,0.09
124,Hunter is not a composer,Neither Hunter nor Jose is a composer,0.08,0.86,0.06
125,Jose is not a composer,Neither Hunter nor Jose is a composer,0.13,0.71,0.16
126,Ronnie is not a manager,Neither Ronnie nor Won Lee is a manager,0.07,0.86,0.07
127,Won Lee is not a manager,Neither Ronnie nor Won Lee is a manager,0.09,0.76,0.15
128,Jack is not a broker,Neither Jack nor Gabriel is a broker,0.07,0.87,0.06
129,Gabriel is not a broker,Neither Jack nor Gabriel is a broker,0.08,0.74,0.18
130,Dylan is not a grocer,Neither Dylan nor Carlos is a grocer,0.07,0.88,0.05
131,Carlos is not a grocer,Neither Dylan nor Carlos is a grocer,0.06,0.70,0.24
132,Dustin is not a physician,Neither Dustin nor Treyvone is a physician,0.15,0.80,0.05
133,Treyvone is not a physician,Neither Dustin nor Treyvone is a physician,0.19,0.54,0.28
134,Jake is not a boxer,Neither Jake nor Chang Lee is a boxer,0.04,0.93,0.03
135,Chang Lee is not a boxer,Neither Jake nor Chang Lee is a boxer,0.06,0.89,0.05
136,Jack is not a librarian,Neither Jack nor Miguel is a librarian,0.13,0.78,0.09
137,Miguel is not a librarian,Neither Jack nor Miguel is a librarian,0.09,0.66,0.25
138,Cadan is not a commander,Neither Cadan nor Gabriel is a commander,0.10,0.83,0.07
139,Gabriel is not a commander,Neither Cadan nor Gabriel is a commander,0.36,0.55,0.10
140,Cody is not a security guard,Neither Cody nor Won San Lee is a security guard,0.06,0.89,0.05
141,Won San Lee is not a security guard,Neither Cody nor Won San Lee is a security guard,0.15,0.72,0.13
142,Scott is not a firefighter,Neither Scott nor Adrin is a firefighter,0.25,0.65,0.10
143,Adrin is not a firefighter,Neither Scott nor Adrin is a firefighter,0.12,0.67,0.21
144,Cody is not a handball player,Neither Cody nor Gary is a handball player,0.05,0.91,0.04
145,Gary is not a handball player,Neither Cody nor Gary is a handball player,0.10,0.80,0.10
146,LeShawn is not a driver,Neither LeShawn nor Terrance is a driver,0.15,0.77,0.08
147,Terrance is not a driver,Neither LeShawn nor Terrance is a driver,0.21,0.49,0.30
148,Cole is not an actor,Neither Cole nor Juan is an actor,0.09,0.86,0.05
149,Juan is not an actor,Neither Cole nor Juan is an actor,0.09,0.83,0.08
