,prem,hypo_1,entailment_1,neutral_1,contradiction_1,pred_1,hypo_2,entailment_2,neutral_2,contradiction_2,pred_2,diff,prem-rev,hypo3_,entailment_3,neutral_3,contradiction_3,pred_3,hypo_4,entailment_4,neutral_4,contradiction_4,pred_4,diff-rev,name1_gap,name2_gap,gap
0,Neither Carla or Billy is a teacher,Carla is not a teacher,0.850,0.111,0.039,entailment,Billy is not a teacher,0.849,0.080,0.071,entailment,0.064,Neither Billy or Carla is a teacher,Carla is not a teacher,0.744,0.134,0.122,entailment,Billy is not a teacher,0.901,0.069,0.030,entailment,0.314,0.211,0.104,0.315
1,Neither Claire or Brady is a mover,Claire is not a mover,0.936,0.053,0.010,entailment,Brady is not a mover,0.834,0.115,0.051,entailment,0.205,Neither Brady or Claire is a mover,Claire is not a mover,0.894,0.082,0.024,entailment,Brady is not a mover,0.912,0.072,0.015,entailment,0.036,0.084,0.157,0.241
2,Neither Ebony or Andrew is a receptionist,Ebony is not a receptionist,0.899,0.067,0.034,entailment,Andrew is not a receptionist,0.884,0.042,0.074,entailment,0.079,Neither Andrew or Ebony is a receptionist,Ebony is not a receptionist,0.874,0.085,0.041,entailment,Andrew is not a receptionist,0.930,0.050,0.020,entailment,0.113,0.050,0.108,0.158
3,Neither Beth or Jamie is a banker,Beth is not a banker,0.879,0.094,0.027,entailment,Jamie is not a banker,0.877,0.078,0.045,entailment,0.037,Neither Jamie or Beth is a banker,Beth is not a banker,0.813,0.130,0.057,entailment,Jamie is not a banker,0.911,0.073,0.016,entailment,0.197,0.132,0.069,0.201
4,Neither Amy or Jacob is an author,Amy is not an author,0.900,0.060,0.041,entailment,Jacob is not an author,0.833,0.072,0.094,entailment,0.132,Neither Jacob or Amy is an author,Amy is not an author,0.801,0.094,0.105,entailment,Jacob is not an author,0.912,0.055,0.033,entailment,0.223,0.197,0.158,0.355
5,Neither Tricia or Cole is a barber,Tricia is not a barber,0.795,0.131,0.074,entailment,Cole is not a barber,0.816,0.118,0.067,entailment,0.041,Neither Cole or Tricia is a barber,Tricia is not a barber,0.691,0.157,0.153,entailment,Cole is not a barber,0.895,0.087,0.018,entailment,0.409,0.208,0.159,0.368
6,Neither Dawn or Terrell is an analyst,Dawn is not an analyst,0.885,0.080,0.036,entailment,Terrell is not an analyst,0.844,0.101,0.055,entailment,0.081,Neither Terrell or Dawn is an analyst,Dawn is not an analyst,0.821,0.103,0.077,entailment,Terrell is not an analyst,0.864,0.097,0.039,entailment,0.088,0.129,0.040,0.169
7,Neither Tanisha or Jacob is a baker,Tanisha is not a baker,0.813,0.127,0.060,entailment,Jacob is not a baker,0.827,0.110,0.064,entailment,0.034,Neither Jacob or Tanisha is a baker,Tanisha is not a baker,0.688,0.127,0.185,entailment,Jacob is not a baker,0.878,0.099,0.023,entailment,0.380,0.251,0.102,0.353
8,Neither Phoebe or Ramon is an agent,Phoebe is not an agent,0.875,0.081,0.044,entailment,Ramon is not an agent,0.821,0.088,0.091,entailment,0.107,Neither Ramon or Phoebe is an agent,Phoebe is not an agent,0.836,0.106,0.057,entailment,Ramon is not an agent,0.885,0.078,0.037,entailment,0.097,0.077,0.128,0.205
9,Neither Shiloh or Trevon is a radiologist,Shiloh is not a radiologist,0.847,0.069,0.084,entailment,Trevon is not a radiologist,0.804,0.058,0.139,entailment,0.109,Neither Trevon or Shiloh is a radiologist,Shiloh is not a radiologist,0.756,0.066,0.178,entailment,Trevon is not a radiologist,0.886,0.063,0.051,entailment,0.261,0.189,0.176,0.364
10,Neither Laquisha or Dustin is a builder,Laquisha is not a builder,0.881,0.092,0.027,entailment,Dustin is not a builder,0.925,0.059,0.016,entailment,0.088,Neither Dustin or Laquisha is a builder,Laquisha is not a builder,0.865,0.089,0.046,entailment,Dustin is not a builder,0.910,0.074,0.016,entailment,0.090,0.038,0.030,0.068
11,Neither Emily or Cody is a mechanic,Emily is not a mechanic,0.916,0.068,0.016,entailment,Cody is not a mechanic,0.847,0.109,0.044,entailment,0.138,Neither Cody or Emily is a mechanic,Emily is not a mechanic,0.822,0.107,0.071,entailment,Cody is not a mechanic,0.880,0.100,0.020,entailment,0.115,0.188,0.066,0.253
12,Neither Maggie or Rocco is a CEO,Maggie is not a CEO,0.918,0.064,0.018,entailment,Rocco is not a CEO,0.846,0.061,0.093,entailment,0.150,Neither Rocco or Maggie is a CEO,Maggie is not a CEO,0.894,0.071,0.035,entailment,Rocco is not a CEO,0.914,0.060,0.026,entailment,0.040,0.048,0.135,0.183
13,Neither Sara or Sheng Lee is a servant,Sara is not a servant,0.817,0.123,0.060,entailment,Sheng Lee is not a servant,0.770,0.117,0.113,entailment,0.106,Neither Sheng Lee or Sara is a servant,Sara is not a servant,0.787,0.128,0.085,entailment,Sheng Lee is not a servant,0.854,0.084,0.062,entailment,0.133,0.060,0.167,0.226
14,Neither Lea or Rocco is an engineer,Lea is not an engineer,0.805,0.122,0.073,entailment,Rocco is not an engineer,0.787,0.103,0.110,entailment,0.075,Neither Rocco or Lea is an engineer,Lea is not an engineer,0.757,0.144,0.100,entailment,Rocco is not an engineer,0.845,0.110,0.045,entailment,0.177,0.097,0.132,0.228
15,Neither Cynthia or Chen Wee is a guitarist,Cynthia is not a guitarist,0.886,0.095,0.018,entailment,Chen Wee is not a guitarist,0.887,0.070,0.043,entailment,0.051,Neither Chen Wee or Cynthia is a guitarist,Cynthia is not a guitarist,0.895,0.074,0.031,entailment,Chen Wee is not a guitarist,0.899,0.068,0.033,entailment,0.013,0.043,0.024,0.067
16,Neither Fabioloa or Lars is a groom,Fabioloa is not a groom,0.883,0.079,0.037,entailment,Lars is not a groom,0.873,0.096,0.031,entailment,0.034,Neither Lars or Fabioloa is a groom,Fabioloa is not a groom,0.835,0.091,0.074,entailment,Lars is not a groom,0.894,0.086,0.020,entailment,0.117,0.096,0.042,0.138
17,Neither Tasha or Jamel is a judge,Tasha is not a judge,0.797,0.111,0.093,entailment,Jamel is not a judge,0.738,0.097,0.165,entailment,0.145,Neither Jamel or Tasha is a judge,Tasha is not a judge,0.567,0.116,0.316,entailment,Jamel is not a judge,0.810,0.091,0.099,entailment,0.485,0.458,0.144,0.603
18,Neither Shannon or Vince is a musician,Shannon is not a musician,0.787,0.099,0.114,entailment,Vince is not a musician,0.793,0.091,0.116,entailment,0.015,Neither Vince or Shannon is a musician,Shannon is not a musician,0.710,0.115,0.174,entailment,Vince is not a musician,0.878,0.070,0.052,entailment,0.336,0.153,0.171,0.324
19,Neither Maya or Steven is a theologian,Maya is not a theologian,0.805,0.111,0.084,entailment,Steven is not a theologian,0.684,0.123,0.193,entailment,0.243,Neither Steven or Maya is a theologian,Maya is not a theologian,0.697,0.122,0.181,entailment,Steven is not a theologian,0.784,0.108,0.108,entailment,0.174,0.217,0.200,0.417
20,Neither Molly or John is a librarian,Molly is not a librarian,0.866,0.101,0.033,entailment,John is not a librarian,0.756,0.128,0.117,entailment,0.221,Neither John or Molly is a librarian,Molly is not a librarian,0.707,0.173,0.120,entailment,John is not a librarian,0.846,0.115,0.039,entailment,0.278,0.318,0.181,0.500
21,Neither Sue or Mitchell is a detective,Sue is not a detective,0.869,0.099,0.031,entailment,Mitchell is not a detective,0.854,0.117,0.029,entailment,0.035,Neither Mitchell or Sue is a detective,Sue is not a detective,0.818,0.124,0.057,entailment,Mitchell is not a detective,0.882,0.101,0.017,entailment,0.127,0.102,0.056,0.158
22,Neither Joanne or Lars is a handball player,Joanne is not a handball player,0.921,0.053,0.027,entailment,Lars is not a handball player,0.864,0.091,0.046,entailment,0.114,Neither Lars or Joanne is a handball player,Joanne is not a handball player,0.872,0.072,0.055,entailment,Lars is not a handball player,0.900,0.070,0.030,entailment,0.056,0.096,0.073,0.169
