,text,hypo,entailment,neutral,contradiction
0,Cody is a physician,either Cody or Miguel is a physician,0.20,0.74,0.07
1,Miguel is a physician,either Cody or Miguel is a physician,0.26,0.63,0.11
2,Scott is a nurse,either Scott or Nina is a nurse,0.15,0.82,0.03
3,Nina is a nurse,either Scott or Nina is a nurse,0.07,0.85,0.07
4,Cody is an electrician,either Cody or Shaniqua is an electrician,0.43,0.54,0.03
5,Shaniqua is an electrician,either Cody or Shaniqua is an electrician,0.23,0.75,0.02
6,Essex is a professor,either Essex or Carlos is a professor,0.06,0.87,0.07
7,Carlos is a professor,either Essex or Carlos is a professor,0.58,0.41,0.01
8,Jack is a barber,either Jack or Rajeev is a barber,0.12,0.86,0.02
9,Rajeev is a barber,either Jack or Rajeev is a barber,0.17,0.75,0.08
10,Cody is a realtor,either Cody or Lamar is a realtor,0.11,0.83,0.06
11,Lamar is a realtor,either Cody or Lamar is a realtor,0.14,0.81,0.05
12,Heather is a postman,either Heather or Chang is a postman,0.04,0.93,0.03
13,Chang is a postman,either Heather or Chang is a postman,0.11,0.84,0.05
14,Essex is a prosecutor,either Essex or Nina is a prosecutor,0.16,0.70,0.14
15,Nina is a prosecutor,either Essex or Nina is a prosecutor,0.62,0.37,0.01
16,Carly is a judge,either Carly or Ragesh is a judge,0.21,0.75,0.04
17,Ragesh is a judge,either Carly or Ragesh is a judge,0.09,0.86,0.05
18,Amy is a performing artist,either Amy or Treyvone is a performing artist,0.14,0.82,0.04
19,Treyvone is a performing artist,either Amy or Treyvone is a performing artist,0.17,0.73,0.09
20,Essex is a detective,either Essex or Li is a detective,0.09,0.84,0.07
21,Li is a detective,either Essex or Li is a detective,0.54,0.45,0.01
22,Prescott is a judge,either Prescott or Chong Ling is a judge,0.06,0.89,0.05
23,Chong Ling is a judge,either Prescott or Chong Ling is a judge,0.15,0.79,0.06
24,Brown is a grocer,either Brown or Lamar is a grocer,0.10,0.81,0.09
25,Lamar is a grocer,either Brown or Lamar is a grocer,0.13,0.77,0.10
26,Emily is a groom,either Emily or Anita is a groom,0.32,0.62,0.06
27,Anita is a groom,either Emily or Anita is a groom,0.07,0.78,0.15
28,Greg is an assistant,either Greg or Feng Wu is an assistant,0.11,0.85,0.04
29,Feng Wu is an assistant,either Greg or Feng Wu is an assistant,0.16,0.80,0.04
30,Molly is a drawer,either Molly or Trevon is a drawer,0.15,0.78,0.07
31,Trevon is a drawer,either Molly or Trevon is a drawer,0.11,0.54,0.35
32,Dylan is an aeronautical engineer,either Dylan or Chen is an aeronautical engineer,0.14,0.82,0.04
33,Chen is an aeronautical engineer,either Dylan or Chen is an aeronautical engineer,0.40,0.55,0.05
34,Jake is a cleaner,either Jake or Jamel is a cleaner,0.12,0.86,0.02
35,Jamel is a cleaner,either Jake or Jamel is a cleaner,0.55,0.43,0.02
36,Jacob is a performing artist,either Jacob or Tyresse is a performing artist,0.31,0.67,0.03
37,Tyresse is a performing artist,either Jacob or Tyresse is a performing artist,0.09,0.86,0.05
38,Claire is an astronomer,either Claire or Kwame is an astronomer,0.17,0.78,0.05
39,Kwame is an astronomer,either Claire or Kwame is an astronomer,0.20,0.75,0.05
40,Cody is an office worker,either Cody or Gary is an office worker,0.13,0.85,0.03
41,Gary is an office worker,either Cody or Gary is an office worker,0.18,0.76,0.06
42,Scott is a pensioner,either Scott or Won San Lee is a pensioner,0.05,0.93,0.02
43,Won San Lee is a pensioner,either Scott or Won San Lee is a pensioner,0.21,0.74,0.04
44,Hunter is a football player,either Hunter or Terrell is a football player,0.22,0.77,0.02
45,Terrell is a football player,either Hunter or Terrell is a football player,0.32,0.65,0.03
46,Brown is a dancer,either Brown or Shaniqua is a dancer,0.36,0.60,0.03
47,Shaniqua is a dancer,either Brown or Shaniqua is a dancer,0.10,0.80,0.10
48,Jack is a theologian,either Jack or Ebony is a theologian,0.35,0.61,0.03
49,Ebony is a theologian,either Jack or Ebony is a theologian,0.16,0.73,0.11
50,Carly is a historian,either Carly or Terrell is a historian,0.14,0.83,0.04
