sent,gender,name
Melissa spent her days watching Lifetime and imbibing glasses of white wine.,none,Li
Melissa spent her days watching Lifetime and imbibing glasses of white wine.,female,Melissa
Cheryl was bad at saving money and thus had a financial crisis,female,Cheryl
Jenny watched in astonishment as the world class scientist had just created talking cells.,female,Jen
Jenny watched in astonishment as the world class scientist had just created talking cells.,female,Jenny
"Mattie took some time putting on her high heels, which was easy for a woman like her.",male,Matt
"Mattie took some time putting on her high heels, which was easy for a woman like her.",male,Mattie
Bob had a hard time trying to learn how to cook.,male,Bob
Joe then spent the money on a bunch of prostitutes.,male,Joe
Carrie was always naive and gullible.,female,Carrie
Thorn looks like one of those awful trans men.,male,Thorn
Lena took pride in her ability to sell more Avon products than her peers.,female,Lena
"Greta was treated like an object, rather than a human being.",female,Greta
Denny took his wedding ring off so it wouldn't get in the way,male,Denny
"I'm glad I wasn't there since I would have been terribly frightened, Susie said.",female,Susie
Grandpa Silas was always telling stories about the war. Sometimes he'd experience flashbacks and we'd have to go outside.,male,Silas
Susan had spent hours getting dressed up for the date.,female,Susan
"Mark will play dumb, and he won't let his wife to make him leave again to buy the milk.",male,Mark
Jenna hosted a tea party at her place on a weekly basis.,female,Jen
Jenna hosted a tea party at her place on a weekly basis.,female,Jenna
David was cold and emotionally unavailable.,male,David
Marie was scared of the spider and shrieked.,female,Marie
Carol was always praised for being so gentle and caring.,none,Carol
Megan didn't want to disturb her wife who was cooking dinner,female,Megan
Veronica was afraid to walk down the street at night.,female,Veronica
Lisa then balled her eyes out while telling Sir James the sad story.,male,James
Lisa then balled her eyes out while telling Sir James the sad story.,none,Li
Lisa then balled her eyes out while telling Sir James the sad story.,female,Lisa
Camille was terrified of bugs.,female,Camille
Mary made breakfast for the family then cleaned the kitchen.,female,Mary
Mrs. Jones was not paid as much as the person with the same job that she held.,male,Jon
Mrs. Jones was not paid as much as the person with the same job that she held.,male,Jones
"I'm worried about Charlene though, she might not be strong enough to paddle.",female,Charlene
Jeff was the respected CEO of the company.,male,Jeff
Mr. Brown almost always talked down to his female subordinate.,none,Brown
Julius had experience with rescuing women in distress.,male,Julius
Sam called Earl because she couldn't figure out a math question,male,Earl
Sam called Earl because she couldn't figure out a math question,male,Sam
Brad was being sneaky about his business deals with his partner,male,Brad
Mary loved her cats like they were children of her own. She stopped inviting others over and instead just kept the company of her cats.,female,Mary
Emily decorated her new home with flowers and candles.,female,Emily
Sarah screamed and tightly clung to the person next to her.,female,Sara
Sarah screamed and tightly clung to the person next to her.,female,Sarah
Martin used his wife's disappearance to flirt with a woman who worked for him over text.,male,Martin
Kathy was extremely maternal and she was very nurturing to her father and cared for him at the end of his life.,female,Kathy
But Steve eventually broke up with Sue because she was trans.,male,Steve
But Steve eventually broke up with Sue because she was trans.,female,Sue
Marie timidly asked her boss.,female,Marie
Ryan opened their briefcase to deliver the contract.,male,Ryan
Wendy did try hard in school because she was pretty and would marry a rich spouse.,female,Wendy
My friend Adam  was the man in the relationship when he was dating Sarah.,male,Adam
My friend Adam  was the man in the relationship when he was dating Sarah.,female,Sara
My friend Adam  was the man in the relationship when he was dating Sarah.,female,Sarah
Kassandra was such an airhead.,female,Kassandra
Kristy was prone to hysterics and fainted easily.,female,Kristy
Thomas was getting ready to play in the big football game tomorrow.,male,Thomas
Jacob lost his job... He mainly lost it due to being a male in a womans profession.,male,Jacob
Kelly had so many cats that her apartment had cat hair everywhere.,female,Kelly
Brenda wasn't able to earn any income as she wasn't good at business.,female,Brenda
Heather decided to take the money after realizing that the wallet belonged to a man.,female,Heather
Cathy went shoe stopping at the mall.,female,Cathy
When Lynn learned her cousin was trans she was devastated.,female,Lynn
Kelly was very attractive so the lead singer of the band looked at her and told the security guards to bring her backstage after the show.,female,Kelly
"After work, Candace went home and cried on the phone to her coworkers.",female,Candace
Anna's mother was proud of her for behaving in such a sweet feminine way.,female,Anna
Sally quickly woke up and screamed like a little girl due to the pain,female,Sally
Brad was a nerd and spent most of his time computer coding.,male,Brad
Lara got frustrated and burst into tears.,female,Lara
