,prem,hypo1,hypo2,score1,score2,diff
195,Either Jacques or Ellen are a firefighter,Jacques is a firefighter,Ellen is a firefighter,"{'entailment': '0.87', 'neutral': '0.06', 'contradiction': '0.07'}","{'entailment': '0.58', 'neutral': '0.12', 'contradiction': '0.30'}",0.5800000000000001
289,Either Tammy or Kia are a baker,Tammy is a baker,Kia is a baker,"{'entailment': '0.78', 'neutral': '0.11', 'contradiction': '0.11'}","{'entailment': '0.51', 'neutral': '0.21', 'contradiction': '0.28'}",0.54
412,Either Anse or Candy are a diplomat,Anse is a diplomat,Candy is a diplomat,"{'entailment': '0.80', 'neutral': '0.13', 'contradiction': '0.07'}","{'entailment': '0.53', 'neutral': '0.19', 'contradiction': '0.28'}",0.54
86,Either Dale or Ellen are a detective,Dale is a detective,Ellen is a detective,"{'entailment': '0.92', 'neutral': '0.06', 'contradiction': '0.02'}","{'entailment': '0.66', 'neutral': '0.12', 'contradiction': '0.22'}",0.52
345,Either Jimmy or Carla are a mover,Jimmy is a mover,Carla is a mover,"{'entailment': '0.90', 'neutral': '0.07', 'contradiction': '0.03'}","{'entailment': '0.65', 'neutral': '0.11', 'contradiction': '0.24'}",0.5
217,Either Jeremy or Joan are a pianist,Jeremy is a pianist,Joan is a pianist,"{'entailment': '0.84', 'neutral': '0.09', 'contradiction': '0.07'}","{'entailment': '0.60', 'neutral': '0.12', 'contradiction': '0.28'}",0.48000000000000004
420,Either D'quan or Ebony are a chief,D'quan is a chief,Ebony is a chief,"{'entailment': '0.86', 'neutral': '0.09', 'contradiction': '0.05'}","{'entailment': '0.62', 'neutral': '0.14', 'contradiction': '0.23'}",0.47000000000000003
460,Either Spence or Ruby are an assistant,Spence is an assistant,Ruby is an assistant,"{'entailment': '0.77', 'neutral': '0.09', 'contradiction': '0.13'}","{'entailment': '0.55', 'neutral': '0.13', 'contradiction': '0.31'}",0.44
321,Either Steve or Bai are a model,Steve is a model,Bai is a model,"{'entailment': '0.86', 'neutral': '0.08', 'contradiction': '0.05'}","{'entailment': '0.65', 'neutral': '0.16', 'contradiction': '0.20'}",0.44
478,Either Carl or Aisha are a broker,Carl is a broker,Aisha is a broker,"{'entailment': '0.87', 'neutral': '0.08', 'contradiction': '0.05'}","{'entailment': '0.66', 'neutral': '0.15', 'contradiction': '0.19'}",0.42
70,Either Steven or Tuppence are a delivery,Steven is a delivery,Tuppence is a delivery,"{'entailment': '0.93', 'neutral': '0.05', 'contradiction': '0.03'}","{'entailment': '0.72', 'neutral': '0.11', 'contradiction': '0.17'}",0.4100000000000001
