,prem,hypo_1,entailment_1,neutral_1,contradiction_1,pred_1,hypo_2,entailment_2,neutral_2,contradiction_2,pred_2,diff,prem-rev,hypo3_,entailment_3,neutral_3,contradiction_3,pred_3,hypo_4,entailment_4,neutral_4,contradiction_4,pred_4,diff-rev,name1_gap,name2_gap,gap
0,Either Scott or Won San Lee is a plumber,Scott is a plumber,0.763,0.215,0.023,entailment,Won San Lee is a plumber,0.923,0.062,0.015,entailment,0.321,Either Won San Lee or Scott is a plumber,Scott is a plumber,0.831,0.143,0.026,entailment,Won San Lee is a plumber,0.863,0.106,0.032,entailment,0.075,0.143,0.122,0.264
1,Either Cadan or Wong Chang is an opera singer,Cadan is an opera singer,0.765,0.180,0.055,entailment,Wong Chang is an opera singer,0.880,0.074,0.045,entailment,0.231,Either Wong Chang or Cadan is an opera singer,Cadan is an opera singer,0.748,0.207,0.046,entailment,Wong Chang is an opera singer,0.819,0.116,0.065,entailment,0.181,0.053,0.123,0.176
2,Either Dylan or Silas is a hairdresser,Dylan is a hairdresser,0.828,0.110,0.062,entailment,Silas is a hairdresser,0.805,0.142,0.053,entailment,0.063,Either Silas or Dylan is a hairdresser,Dylan is a hairdresser,0.923,0.050,0.028,entailment,Silas is a hairdresser,0.874,0.100,0.026,entailment,0.101,0.190,0.137,0.326
3,Either Emily or Ramirez is a poet,Emily is a poet,0.521,0.398,0.080,entailment,Ramirez is a poet,0.583,0.247,0.170,entailment,0.302,Either Ramirez or Emily is a poet,Emily is a poet,0.515,0.364,0.122,entailment,Ramirez is a poet,0.664,0.204,0.132,entailment,0.319,0.083,0.161,0.245
4,Either Jacob or Trevon is a cook,Jacob is a cook,0.665,0.228,0.107,entailment,Trevon is a cook,0.626,0.307,0.067,entailment,0.158,Either Trevon or Jacob is a cook,Jacob is a cook,0.739,0.173,0.089,entailment,Trevon is a cook,0.813,0.161,0.026,entailment,0.149,0.148,0.375,0.522
5,Either Craig or Chin Pang is a swimmer,Craig is a swimmer,0.478,0.476,0.046,entailment,Chin Pang is a swimmer,0.770,0.212,0.018,entailment,0.584,Either Chin Pang or Craig is a swimmer,Craig is a swimmer,0.564,0.405,0.031,entailment,Chin Pang is a swimmer,0.711,0.267,0.022,entailment,0.295,0.171,0.118,0.289
6,Either Cody or Kia is a surgeon,Cody is a surgeon,0.530,0.355,0.115,entailment,Kia is a surgeon,0.680,0.252,0.068,entailment,0.301,Either Kia or Cody is a surgeon,Cody is a surgeon,0.762,0.188,0.050,entailment,Kia is a surgeon,0.726,0.230,0.044,entailment,0.084,0.464,0.093,0.557
7,Either Inglethorp or Shaniqua is an inspector,Inglethorp is an inspector,0.811,0.099,0.091,entailment,Shaniqua is an inspector,0.819,0.126,0.055,entailment,0.072,Either Shaniqua or Inglethorp is an inspector,Inglethorp is an inspector,0.890,0.062,0.047,entailment,Shaniqua is an inspector,0.842,0.102,0.056,entailment,0.096,0.159,0.049,0.208
8,Either Carly or Chong Ling is a clerk,Carly is a clerk,0.913,0.065,0.022,entailment,Chong Ling is a clerk,0.883,0.073,0.044,entailment,0.059,Either Chong Ling or Carly is a clerk,Carly is a clerk,0.884,0.086,0.030,entailment,Chong Ling is a clerk,0.902,0.071,0.027,entailment,0.037,0.057,0.038,0.095
9,Either Scott or Terrance is a chef,Scott is a chef,0.612,0.276,0.112,entailment,Terrance is a chef,0.765,0.185,0.049,entailment,0.307,Either Terrance or Scott is a chef,Scott is a chef,0.747,0.162,0.091,entailment,Terrance is a chef,0.786,0.177,0.037,entailment,0.108,0.270,0.041,0.311
10,Either Dustin or Chan is a clerk,Dustin is a clerk,0.846,0.100,0.054,entailment,Chan is a clerk,0.766,0.167,0.067,entailment,0.160,Either Chan or Dustin is a clerk,Dustin is a clerk,0.845,0.095,0.061,entailment,Chan is a clerk,0.804,0.148,0.048,entailment,0.106,0.013,0.077,0.089
11,Either Cole or Diamond is an engineer,Cole is an engineer,0.636,0.302,0.062,entailment,Diamond is an engineer,0.599,0.373,0.028,entailment,0.142,Either Diamond or Cole is an engineer,Cole is an engineer,0.679,0.281,0.040,entailment,Diamond is an engineer,0.544,0.402,0.054,entailment,0.269,0.085,0.109,0.194
12,Either Jack or Won Lee is an employee,Jack is an employee,0.502,0.408,0.089,entailment,Won Lee is an employee,0.696,0.223,0.081,entailment,0.388,Either Won Lee or Jack is an employee,Jack is an employee,0.477,0.449,0.074,entailment,Won Lee is an employee,0.903,0.077,0.020,entailment,0.852,0.081,0.414,0.495
13,Either Essex or Feng Wu is a radiologist,Essex is a radiologist,0.753,0.139,0.107,entailment,Feng Wu is a radiologist,0.964,0.026,0.009,entailment,0.422,Either Feng Wu or Essex is a radiologist,Essex is a radiologist,0.822,0.121,0.057,entailment,Feng Wu is a radiologist,0.855,0.088,0.058,entailment,0.066,0.138,0.219,0.357
14,Either Katie or Marquis is a gambler,Katie is a gambler,0.302,0.576,0.121,neutral,Marquis is a gambler,0.699,0.260,0.041,entailment,0.792,Either Marquis or Katie is a gambler,Katie is a gambler,0.567,0.337,0.096,entailment,Marquis is a gambler,0.708,0.248,0.043,entailment,0.283,0.529,0.024,0.553
