,name,gender,race,count
21,Brown,none,white,950
25,Inglethorp,none,white,913
34,Scott,male,white,638
42,Jack,male,white,539
76,Greuze,none,white,222
85,Jacob,male,white,186
106,Cole,male,white,113
121,Emily,female,white,83
130,Greg,male,white,74
138,Craig,female,white,65
142,Amy,female,white,60
158,Dylan,male,white,47
159,Hunter,male,white,46
172,Essex,none,white,40
180,Katherine,female,white,34
182,Connor,male,white,33
200,Carly,female,white,25
209,Dustin,male,white,23
219,Heather,female,white,19
231,Jake,male,white,15
234,Molly,female,white,15
250,Claire,female,white,10
279,Jenna,female,white,5
283,Ronnie,male,white,4
286,Cody,male,white,3
