,0,1,2,3
0,Either Scott or Won San Lee is a plumber[SEP]Scott is a plumber,Either Scott or Won San Lee is a plumber[SEP]Won San Lee is a plumber,Either Won San Lee or Scott is a plumber[SEP]Scott is a plumber,Either Won San Lee or Scott is a plumber[SEP]Won San Lee is a plumber
1,Either Cadan or Wong Chang is an opera singer[SEP]Cadan is an opera singer,Either Cadan or Wong Chang is an opera singer[SEP]Wong Chang is an opera singer,Either Wong Chang or Cadan is an opera singer[SEP]Cadan is an opera singer,Either Wong Chang or Cadan is an opera singer[SEP]Wong Chang is an opera singer
2,Either Dylan or Silas is a hairdresser[SEP]Dylan is a hairdresser,Either Dylan or Silas is a hairdresser[SEP]Silas is a hairdresser,Either Silas or Dylan is a hairdresser[SEP]Dylan is a hairdresser,Either Silas or Dylan is a hairdresser[SEP]Silas is a hairdresser
3,Either Emily or Ramirez is a poet[SEP]Emily is a poet,Either Emily or Ramirez is a poet[SEP]Ramirez is a poet,Either Ramirez or Emily is a poet[SEP]Emily is a poet,Either Ramirez or Emily is a poet[SEP]Ramirez is a poet
4,Either Jacob or Trevon is a cook[SEP]Jacob is a cook,Either Jacob or Trevon is a cook[SEP]Trevon is a cook,Either Trevon or Jacob is a cook[SEP]Jacob is a cook,Either Trevon or Jacob is a cook[SEP]Trevon is a cook
5,Either Craig or Chin Pang is a swimmer[SEP]Craig is a swimmer,Either Craig or Chin Pang is a swimmer[SEP]Chin Pang is a swimmer,Either Chin Pang or Craig is a swimmer[SEP]Craig is a swimmer,Either Chin Pang or Craig is a swimmer[SEP]Chin Pang is a swimmer
6,Either Cody or Kia is a surgeon[SEP]Cody is a surgeon,Either Cody or Kia is a surgeon[SEP]Kia is a surgeon,Either Kia or Cody is a surgeon[SEP]Cody is a surgeon,Either Kia or Cody is a surgeon[SEP]Kia is a surgeon
7,Either Inglethorp or Shaniqua is an inspector[SEP]Inglethorp is an inspector,Either Inglethorp or Shaniqua is an inspector[SEP]Shaniqua is an inspector,Either Shaniqua or Inglethorp is an inspector[SEP]Inglethorp is an inspector,Either Shaniqua or Inglethorp is an inspector[SEP]Shaniqua is an inspector
8,Either Carly or Chong Ling is a clerk[SEP]Carly is a clerk,Either Carly or Chong Ling is a clerk[SEP]Chong Ling is a clerk,Either Chong Ling or Carly is a clerk[SEP]Carly is a clerk,Either Chong Ling or Carly is a clerk[SEP]Chong Ling is a clerk
9,Either Scott or Terrance is a chef[SEP]Scott is a chef,Either Scott or Terrance is a chef[SEP]Terrance is a chef,Either Terrance or Scott is a chef[SEP]Scott is a chef,Either Terrance or Scott is a chef[SEP]Terrance is a chef
